category,version_number,condition_description,items,item_original,item_new,appearance_type,whose_appearance,comp_condition,whose_comp,telo_condition,whose_telo,scenario_1,scenario_2,question,question_mask
non_living_natural_kinds,nl_1_lc_1,lightning_to_cloud_app_original_comp_preserved_purpose_preserved,lightning_to_cloud,lightning,cloud,original,lightning,preserved,lightning,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit. Moreover, it wasn’t made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. ","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn’t made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. Moreover, it didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is
non_living_natural_kinds,nl_1_lc_2,lightning_to_cloud_app_original_comp_preserved_purpose_changed,lightning_to_cloud,lightning,cloud,original,lightning,preserved,lightning,changed,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation. Moreover, it wasn’t made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn’t made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. Moreover, it didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is
non_living_natural_kinds,nl_1_lc_3,lightning_to_cloud_app_original_comp_changed_purpose_preserved,lightning_to_cloud,lightning,cloud,original,lightning,changed,cloud,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit. Moreover, it wasn’t made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn’t made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals. Moreover, it didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is
non_living_natural_kinds,nl_1_lc_4,lightning_to_cloud_app_original_comp_changed_purpose_changed,lightning_to_cloud,lightning,cloud,original,lightning,changed,cloud,changed,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation. Moreover, it wasn’t made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn’t made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals. Moreover, it didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is
non_living_natural_kinds,nl_1_lc_5,lightning_to_cloud_app_new_comp_preserved_purpose_preserved,lightning_to_cloud,lightning,cloud,new,cloud,preserved,lightning,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit. Moreover, it wasn’t made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. ","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure wasn’t made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. Moreover, it didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is
non_living_natural_kinds,nl_1_lc_6,lightning_to_cloud_app_new_comp_preserved_purpose_changed,lightning_to_cloud,lightning,cloud,new,cloud,preserved,lightning,changed,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation. Moreover, it wasn’t made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure wasn’t made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. Moreover, it didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is
non_living_natural_kinds,nl_1_lc_7,lightning_to_cloud_app_new_comp_changed_purpose_preserved,lightning_to_cloud,lightning,cloud,new,cloud,changed,cloud,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit. Moreover, it wasn’t made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure wasn’t made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals. Moreover, it didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is
non_living_natural_kinds,nl_1_lc_8,lightning_to_cloud_app_new_comp_changed_purpose_changed,lightning_to_cloud,lightning,cloud,new,cloud,changed,cloud,changed,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation. Moreover, it wasn’t made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure wasn’t made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals. Moreover, it didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is
non_living_natural_kinds,nl_2_lsun_1,lightning_to_sun_app_original_comp_preserved_purpose_preserved,lightning_to_sun,lightning,sun,original,lightning,preserved,lightning,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure didn’t provide light and heat. Instead, it only provided a quick and easy way to create an electrical circuit. Moreover, it wasn’t made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles. ","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn’t made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles. Moreover, it didn’t provide light and heat. Instead, it only provided a quick and easy way to create an electrical circuit.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is
non_living_natural_kinds,nl_2_lsun_2,lightning_to_sun_app_original_comp_preserved_purpose_changed,lightning_to_sun,lightning,sun,original,lightning,preserved,lightning,changed,sun,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only provided light and heat. Moreover, it wasn’t made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn’t made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles. Moreover, it didn’t provide a quick and easy way to create an electrical circuit. Instead, it only provided light and heat.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is
