,category,version_number,rep_id,condition_description,items,item_original,item_new,appearance_type,whose_appearance,comp_condition,whose_comp,scenario_1,scenario_2,question,question_mask,bloom_response_question_1,bloom_response_question_2
0,non_living_natural_kinds,nl_1_lc_1,1,lightning_to_cloud_app_original_comp_preserved,lightning_to_cloud,lightning,cloud,original,lightning,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn’t made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,lightning. The thing after,lightning because the thing is
0,non_living_natural_kinds,nl_1_lc_1,2,lightning_to_cloud_app_original_comp_preserved,lightning_to_cloud,lightning,cloud,original,lightning,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn’t made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,"cloud, because if you",a cloud because a cloud
0,non_living_natural_kinds,nl_1_lc_1,3,lightning_to_cloud_app_original_comp_preserved,lightning_to_cloud,lightning,cloud,original,lightning,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn’t made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,"a cloud, because a",a cloud because it is
0,non_living_natural_kinds,nl_1_lc_1,4,lightning_to_cloud_app_original_comp_preserved,lightning_to_cloud,lightning,cloud,original,lightning,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn’t made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,"lightning. After all,",cloud because it is made
0,non_living_natural_kinds,nl_1_lc_1,5,lightning_to_cloud_app_original_comp_preserved,lightning_to_cloud,lightning,cloud,original,lightning,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn’t made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,a cloud. It is,"lightning, because it is"
1,non_living_natural_kinds,nl_1_lc_2,1,lightning_to_cloud_app_original_comp_changed,lightning_to_cloud,lightning,cloud,original,lightning,changed,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,"lightning. Because, lightning",a cloud. I think
1,non_living_natural_kinds,nl_1_lc_2,2,lightning_to_cloud_app_original_comp_changed,lightning_to_cloud,lightning,cloud,original,lightning,changed,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,a cloud because it is,"cloud.

A:

The"
1,non_living_natural_kinds,nl_1_lc_2,3,lightning_to_cloud_app_original_comp_changed,lightning_to_cloud,lightning,cloud,original,lightning,changed,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,"cloud, not lightning.","a cloud, because a"
1,non_living_natural_kinds,nl_1_lc_2,4,lightning_to_cloud_app_original_comp_changed,lightning_to_cloud,lightning,cloud,original,lightning,changed,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,still lightning. The thing,lightning. This is because
1,non_living_natural_kinds,nl_1_lc_2,5,lightning_to_cloud_app_original_comp_changed,lightning_to_cloud,lightning,cloud,original,lightning,changed,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,lightning because it looks like,a cloud. After the
2,non_living_natural_kinds,nl_1_lc_3,1,lightning_to_cloud_app_new_comp_preserved,lightning_to_cloud,lightning,cloud,new,cloud,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like lightning. ",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,lightning. It looks like,lightning because the thing is
2,non_living_natural_kinds,nl_1_lc_3,2,lightning_to_cloud_app_new_comp_preserved,lightning_to_cloud,lightning,cloud,new,cloud,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like lightning. ",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,"a cloud. Because,",a cloud because a cloud
