,Unnamed: 0,category,version_number,rep_id,condition_description,items,item_original,item_new,appearance_type,whose_appearance,comp_condition,whose_comp,scenario_1,scenario_2,question,question_mask,bloom_response_question_1,bloom_response_question_2
0,48,living_natural_kinds,l_1_chickencow_1,1,chicken_to_cow_app_original_comp_preserved,chicken_to_cow,chicken,cow,original,chicken,preserved,chicken,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure wasn't made of bones, muscles, organs, skin and fur. Instead, it was only made of flesh, bone, cartilage, feathers, and other tissues.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After running some tests, they found that the thing after the special procedure wasn't made of bones, muscles, organs, skin and fur. Instead, it was only made of flesh, bone, cartilage, feathers, and other tissues. After the special procedure, the thing looked like a chicken.",Is the thing after the special operation a chicken or a cow ?,The thing after the special operation is,a chicken. Because the thing,a chicken. The thing after
1,48,living_natural_kinds,l_1_chickencow_1,2,chicken_to_cow_app_original_comp_preserved,chicken_to_cow,chicken,cow,original,chicken,preserved,chicken,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure wasn't made of bones, muscles, organs, skin and fur. Instead, it was only made of flesh, bone, cartilage, feathers, and other tissues.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After running some tests, they found that the thing after the special procedure wasn't made of bones, muscles, organs, skin and fur. Instead, it was only made of flesh, bone, cartilage, feathers, and other tissues. After the special procedure, the thing looked like a chicken.",Is the thing after the special operation a chicken or a cow ?,The thing after the special operation is,"a cow. Because, it","not a chicken, because the"
2,48,living_natural_kinds,l_1_chickencow_1,3,chicken_to_cow_app_original_comp_preserved,chicken_to_cow,chicken,cow,original,chicken,preserved,chicken,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure wasn't made of bones, muscles, organs, skin and fur. Instead, it was only made of flesh, bone, cartilage, feathers, and other tissues.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After running some tests, they found that the thing after the special procedure wasn't made of bones, muscles, organs, skin and fur. Instead, it was only made of flesh, bone, cartilage, feathers, and other tissues. After the special procedure, the thing looked like a chicken.",Is the thing after the special operation a chicken or a cow ?,The thing after the special operation is,neither a chicken nor a cow,a cow because it has the
3,48,living_natural_kinds,l_1_chickencow_1,4,chicken_to_cow_app_original_comp_preserved,chicken_to_cow,chicken,cow,original,chicken,preserved,chicken,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure wasn't made of bones, muscles, organs, skin and fur. Instead, it was only made of flesh, bone, cartilage, feathers, and other tissues.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After running some tests, they found that the thing after the special procedure wasn't made of bones, muscles, organs, skin and fur. Instead, it was only made of flesh, bone, cartilage, feathers, and other tissues. After the special procedure, the thing looked like a chicken.",Is the thing after the special operation a chicken or a cow ?,The thing after the special operation is,a chicken because chicken is a,a chicken. I think the
4,48,living_natural_kinds,l_1_chickencow_1,5,chicken_to_cow_app_original_comp_preserved,chicken_to_cow,chicken,cow,original,chicken,preserved,chicken,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure wasn't made of bones, muscles, organs, skin and fur. Instead, it was only made of flesh, bone, cartilage, feathers, and other tissues.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After running some tests, they found that the thing after the special procedure wasn't made of bones, muscles, organs, skin and fur. Instead, it was only made of flesh, bone, cartilage, feathers, and other tissues. After the special procedure, the thing looked like a chicken.",Is the thing after the special operation a chicken or a cow ?,The thing after the special operation is,"a cow, because the thing",a cow. Because the thing
5,49,living_natural_kinds,l_1_chickencow_2,1,chicken_to_cow_app_original_comp_changed,chicken_to_cow,chicken,cow,original,chicken,changed,cow,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure wasn't made of flesh, bone, cartilage, feathers, and other tissues. Instead, it was only made of bones, muscles, organs, skin and fur.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After running some tests, they found that the thing after the special procedure wasn't made of flesh, bone, cartilage, feathers, and other tissues. Instead, it was only made of bones, muscles, organs, skin and fur. After the special procedure, the thing looked like a chicken.",Is the thing after the special operation a chicken or a cow ?,The thing after the special operation is,still a chicken because it has,"a cow. Because, the"
6,49,living_natural_kinds,l_1_chickencow_2,2,chicken_to_cow_app_original_comp_changed,chicken_to_cow,chicken,cow,original,chicken,changed,cow,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure wasn't made of flesh, bone, cartilage, feathers, and other tissues. Instead, it was only made of bones, muscles, organs, skin and fur.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After running some tests, they found that the thing after the special procedure wasn't made of flesh, bone, cartilage, feathers, and other tissues. Instead, it was only made of bones, muscles, organs, skin and fur. After the special procedure, the thing looked like a chicken.",Is the thing after the special operation a chicken or a cow ?,The thing after the special operation is,"not a chicken, because it","a chicken, since the thing"
7,49,living_natural_kinds,l_1_chickencow_2,3,chicken_to_cow_app_original_comp_changed,chicken_to_cow,chicken,cow,original,chicken,changed,cow,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure wasn't made of flesh, bone, cartilage, feathers, and other tissues. Instead, it was only made of bones, muscles, organs, skin and fur.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After running some tests, they found that the thing after the special procedure wasn't made of flesh, bone, cartilage, feathers, and other tissues. Instead, it was only made of bones, muscles, organs, skin and fur. After the special procedure, the thing looked like a chicken.",Is the thing after the special operation a chicken or a cow ?,The thing after the special operation is,"a chicken.
My reasoning:","a cow.
Question 2: Some"
8,49,living_natural_kinds,l_1_chickencow_2,4,chicken_to_cow_app_original_comp_changed,chicken_to_cow,chicken,cow,original,chicken,changed,cow,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure wasn't made of flesh, bone, cartilage, feathers, and other tissues. Instead, it was only made of bones, muscles, organs, skin and fur.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After running some tests, they found that the thing after the special procedure wasn't made of flesh, bone, cartilage, feathers, and other tissues. Instead, it was only made of bones, muscles, organs, skin and fur. After the special procedure, the thing looked like a chicken.",Is the thing after the special operation a chicken or a cow ?,The thing after the special operation is,neither a chicken nor a cow,a chicken. I think that
9,49,living_natural_kinds,l_1_chickencow_2,5,chicken_to_cow_app_original_comp_changed,chicken_to_cow,chicken,cow,original,chicken,changed,cow,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure wasn't made of flesh, bone, cartilage, feathers, and other tissues. Instead, it was only made of bones, muscles, organs, skin and fur.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After running some tests, they found that the thing after the special procedure wasn't made of flesh, bone, cartilage, feathers, and other tissues. Instead, it was only made of bones, muscles, organs, skin and fur. After the special procedure, the thing looked like a chicken.",Is the thing after the special operation a chicken or a cow ?,The thing after the special operation is,not a chicken because a chicken,"not a chicken, because the"
