,category,version_number,rep_id,condition_description,items,item_original,item_new,appearance_type,whose_appearance,comp_condition,whose_comp,scenario_1,scenario_2,question,question_mask,bloom_response_question_1,bloom_response_question_2
96,artifacts,a_1_bm_1,1,bed_to_microwave_app_original_comp_preserved,bed_to_microwave,bed,microwave,original,bed,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,"not a microwave, because a",a microwave. Because in the
96,artifacts,a_1_bm_1,2,bed_to_microwave_app_original_comp_preserved,bed_to_microwave,bed,microwave,original,bed,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,a microwave. The reason is,a microwave because if you put
96,artifacts,a_1_bm_1,3,bed_to_microwave_app_original_comp_preserved,bed_to_microwave,bed,microwave,original,bed,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,a microwave. After the special,a microwave. Because I think
96,artifacts,a_1_bm_1,4,bed_to_microwave_app_original_comp_preserved,bed_to_microwave,bed,microwave,original,bed,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,a microwave. I think this,"a microwave, not a bed"
96,artifacts,a_1_bm_1,5,bed_to_microwave_app_original_comp_preserved,bed_to_microwave,bed,microwave,original,bed,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,a microwave. The answer is,a microwave because it can cook
97,artifacts,a_1_bm_2,1,bed_to_microwave_app_original_comp_changed,bed_to_microwave,bed,microwave,original,bed,changed,microwave,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,a microwave. The reason is,a microwave because the thing looks
97,artifacts,a_1_bm_2,2,bed_to_microwave_app_original_comp_changed,bed_to_microwave,bed,microwave,original,bed,changed,microwave,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,a microwave because the procedure they,a microwave. Because it is
97,artifacts,a_1_bm_2,3,bed_to_microwave_app_original_comp_changed,bed_to_microwave,bed,microwave,original,bed,changed,microwave,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,"a microwave. After all,",a microwave. The special operation
97,artifacts,a_1_bm_2,4,bed_to_microwave_app_original_comp_changed,bed_to_microwave,bed,microwave,original,bed,changed,microwave,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,a microwave. In my opinion,a microwave because the procedure was
97,artifacts,a_1_bm_2,5,bed_to_microwave_app_original_comp_changed,bed_to_microwave,bed,microwave,original,bed,changed,microwave,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,a microwave because it can be,a microwave. Because it has
