,category,version_number,rep_id,condition_description,items,item_original,item_new,appearance_type,whose_appearance,comp_condition,whose_comp,telo_condition,whose_telo,scenario_1,scenario_2,question,question_mask,gpt3_response_scenario_1,gpt3_response_scenario_1_retrieved,gpt3_response_scenario_2,gpt3_response_scenario_2_retrieved
0,artifacts,a_1_bm_1,1,bed_to_microwave_app_original_comp_preserved_purpose_preserved,bed_to_microwave,bed,microwave,original,bed,preserved,bed,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure didn’t heat up food. Instead, it only provided a place to sleep. Moreover, it wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. ","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. Moreover, it didn’t heat up food. Instead, it only provided a place to sleep. ",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,A bed.,bed,"The thing after the special operation is a bed, not a microwave.",bed
1,artifacts,a_1_bm_1,2,bed_to_microwave_app_original_comp_preserved_purpose_preserved,bed_to_microwave,bed,microwave,original,bed,preserved,bed,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure didn’t heat up food. Instead, it only provided a place to sleep. Moreover, it wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. ","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. Moreover, it didn’t heat up food. Instead, it only provided a place to sleep. ",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,The thing after the special procedure is not a microwave.,unsure,"The thing after the special operation is a bed, not a microwave.",bed
2,artifacts,a_1_bm_1,3,bed_to_microwave_app_original_comp_preserved_purpose_preserved,bed_to_microwave,bed,microwave,original,bed,preserved,bed,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure didn’t heat up food. Instead, it only provided a place to sleep. Moreover, it wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. ","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. Moreover, it didn’t heat up food. Instead, it only provided a place to sleep. ",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,"The thing after the special operation is a bed, not a microwave.",bed,"The thing after the special operation is a bed, not a microwave.",bed
3,artifacts,a_1_bm_1,4,bed_to_microwave_app_original_comp_preserved_purpose_preserved,bed_to_microwave,bed,microwave,original,bed,preserved,bed,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure didn’t heat up food. Instead, it only provided a place to sleep. Moreover, it wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. ","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. Moreover, it didn’t heat up food. Instead, it only provided a place to sleep. ",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,"The thing after the special operation is a bed, not a microwave.",bed,The thing after the special operation is a bed.,bed
4,artifacts,a_1_bm_1,5,bed_to_microwave_app_original_comp_preserved_purpose_preserved,bed_to_microwave,bed,microwave,original,bed,preserved,bed,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure didn’t heat up food. Instead, it only provided a place to sleep. Moreover, it wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. ","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. Moreover, it didn’t heat up food. Instead, it only provided a place to sleep. ",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,The thing after the special operation is a bed.,bed,"The thing after the special operation is a bed, not a microwave.",bed
5,artifacts,a_1_bm_2,1,bed_to_microwave_app_original_comp_preserved_purpose_changed,bed_to_microwave,bed,microwave,original,bed,preserved,bed,changed,microwave,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure didn’t provide a place to sleep. Instead, it only heated up food. Moreover, it wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. Moreover, it didn’t provide a place to sleep. Instead, it only heated up food.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,The thing after the special operation is not a bed. It is a microwave.,microwave,It’s a microwave.,microwave
6,artifacts,a_1_bm_2,2,bed_to_microwave_app_original_comp_preserved_purpose_changed,bed_to_microwave,bed,microwave,original,bed,preserved,bed,changed,microwave,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure didn’t provide a place to sleep. Instead, it only heated up food. Moreover, it wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. Moreover, it didn’t provide a place to sleep. Instead, it only heated up food.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,The thing after the special procedure is not a bed. It is a microwave.,microwave,The thing after the special operation is not a bed. It is a microwave.,microwave
7,artifacts,a_1_bm_2,3,bed_to_microwave_app_original_comp_preserved_purpose_changed,bed_to_microwave,bed,microwave,original,bed,preserved,bed,changed,microwave,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure didn’t provide a place to sleep. Instead, it only heated up food. Moreover, it wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. Moreover, it didn’t provide a place to sleep. Instead, it only heated up food.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,The thing after the special procedure is a microwave.,microwave,The answer is that the thing after the special procedure is a microwave.,microwave
8,artifacts,a_1_bm_2,4,bed_to_microwave_app_original_comp_preserved_purpose_changed,bed_to_microwave,bed,microwave,original,bed,preserved,bed,changed,microwave,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure didn’t provide a place to sleep. Instead, it only heated up food. Moreover, it wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. Moreover, it didn’t provide a place to sleep. Instead, it only heated up food.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,The thing after the special procedure is a microwave.,microwave,The thing after the special operation is a microwave.,microwave
9,artifacts,a_1_bm_2,5,bed_to_microwave_app_original_comp_preserved_purpose_changed,bed_to_microwave,bed,microwave,original,bed,preserved,bed,changed,microwave,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure didn’t provide a place to sleep. Instead, it only heated up food. Moreover, it wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. Moreover, it didn’t provide a place to sleep. Instead, it only heated up food.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,The thing after the special operation is a microwave.,microwave,The thing after the special operation is a microwave.,microwave
