,Unnamed: 0,category,version_number,rep_id,condition_description,items,item_original,item_new,appearance_type,whose_appearance,comp_condition,whose_comp,telo_condition,whose_telo,scenario_1,scenario_2,question,question_mask,bloom_response_scenario_1,bloom_response_scenario_1_retrieved,bloom_response_scenario_2,bloom_response_scenario_2_retrieved
0,0,non_living_natural_kinds,nl_1_lc_1,1,lightning_to_cloud_app_original_comp_preserved_purpose_preserved,lightning_to_cloud,lightning,cloud,original,lightning,preserved,lightning,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit. Moreover, it wasn’t made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. ","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn’t made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. Moreover, it didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,cloud because it looks like,cloud,"lightning.
Reason:",lightning
1,0,non_living_natural_kinds,nl_1_lc_1,2,lightning_to_cloud_app_original_comp_preserved_purpose_preserved,lightning_to_cloud,lightning,cloud,original,lightning,preserved,lightning,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit. Moreover, it wasn’t made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. ","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn’t made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. Moreover, it didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,thunder. Lightning is an,unsure,lightning. Because lightning is,lightning
2,0,non_living_natural_kinds,nl_1_lc_1,3,lightning_to_cloud_app_original_comp_preserved_purpose_preserved,lightning_to_cloud,lightning,cloud,original,lightning,preserved,lightning,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit. Moreover, it wasn’t made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. ","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn’t made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. Moreover, it didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,"cloud, because it only",cloud,lightning because it is still,lightning
3,0,non_living_natural_kinds,nl_1_lc_1,4,lightning_to_cloud_app_original_comp_preserved_purpose_preserved,lightning_to_cloud,lightning,cloud,original,lightning,preserved,lightning,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit. Moreover, it wasn’t made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. ","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn’t made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. Moreover, it didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,cloud. Because lightning is,cloud,cloud. Because it is,cloud
4,0,non_living_natural_kinds,nl_1_lc_1,5,lightning_to_cloud_app_original_comp_preserved_purpose_preserved,lightning_to_cloud,lightning,cloud,original,lightning,preserved,lightning,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit. Moreover, it wasn’t made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. ","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn’t made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. Moreover, it didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,lightning. The definition of,lightning,"lightning, because the thing",lightning
5,1,non_living_natural_kinds,nl_1_lc_2,1,lightning_to_cloud_app_original_comp_preserved_purpose_changed,lightning_to_cloud,lightning,cloud,original,lightning,preserved,lightning,changed,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation. Moreover, it wasn’t made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn’t made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. Moreover, it didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,a cloud. Because it,cloud,a cloud. The procedure,cloud
6,1,non_living_natural_kinds,nl_1_lc_2,2,lightning_to_cloud_app_original_comp_preserved_purpose_changed,lightning_to_cloud,lightning,cloud,original,lightning,preserved,lightning,changed,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation. Moreover, it wasn’t made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn’t made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. Moreover, it didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,"lightning, because it can",lightning,cloud. Because lightning is,cloud
7,1,non_living_natural_kinds,nl_1_lc_2,3,lightning_to_cloud_app_original_comp_preserved_purpose_changed,lightning_to_cloud,lightning,cloud,original,lightning,preserved,lightning,changed,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation. Moreover, it wasn’t made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn’t made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. Moreover, it didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,a cloud. I think,cloud,lightning. Because the thing,lightning
8,1,non_living_natural_kinds,nl_1_lc_2,4,lightning_to_cloud_app_original_comp_preserved_purpose_changed,lightning_to_cloud,lightning,cloud,original,lightning,preserved,lightning,changed,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation. Moreover, it wasn’t made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn’t made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. Moreover, it didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,a cloud because it only,cloud,"lightning.

A:

A",lightning
9,1,non_living_natural_kinds,nl_1_lc_2,5,lightning_to_cloud_app_original_comp_preserved_purpose_changed,lightning_to_cloud,lightning,cloud,original,lightning,preserved,lightning,changed,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation. Moreover, it wasn’t made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn’t made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. Moreover, it didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,a cloud. If you,cloud,cloud because it is made,cloud
