,Unnamed: 0,category,version_number,rep_id,condition_description,items,item_original,item_new,appearance_type,whose_appearance,comp_condition,whose_comp,telo_condition,whose_telo,scenario_1,scenario_2,question,question_mask,bloom_response_scenario_1,bloom_response_scenario_1_retrieved,bloom_response_scenario_2,bloom_response_scenario_2_retrieved
0,96,living_natural_kinds,l_1_chickencow_1,1,chicken_to_cow_app_original_comp_preserved_purpose_preserved,chicken_to_cow,chicken,cow,original,chicken,preserved,chicken,preserved,chicken,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure didn’t provide milk and beef. Instead, it only produced eggs. Moreover, it wasn’t made of bones, muscles, organs, skin and fur. Instead, it was only made of flesh, bone, cartilage, feathers, and other tissues. ","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure wasn’t made of bones, muscles, organs, skin and fur. Instead, it was only made of flesh, bone, cartilage, feathers, and other tissues. Moreover, it didn’t provide milk and beef. Instead, it only produced eggs. ",Is the thing after the special operation a chicken or a cow ?,The thing after the special operation is,both a chicken and a,unsure,a chicken. Because the,chicken
1,96,living_natural_kinds,l_1_chickencow_1,2,chicken_to_cow_app_original_comp_preserved_purpose_preserved,chicken_to_cow,chicken,cow,original,chicken,preserved,chicken,preserved,chicken,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure didn’t provide milk and beef. Instead, it only produced eggs. Moreover, it wasn’t made of bones, muscles, organs, skin and fur. Instead, it was only made of flesh, bone, cartilage, feathers, and other tissues. ","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure wasn’t made of bones, muscles, organs, skin and fur. Instead, it was only made of flesh, bone, cartilage, feathers, and other tissues. Moreover, it didn’t provide milk and beef. Instead, it only produced eggs. ",Is the thing after the special operation a chicken or a cow ?,The thing after the special operation is,"a chicken, because the",chicken,a chicken. Because it,chicken
2,96,living_natural_kinds,l_1_chickencow_1,3,chicken_to_cow_app_original_comp_preserved_purpose_preserved,chicken_to_cow,chicken,cow,original,chicken,preserved,chicken,preserved,chicken,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure didn’t provide milk and beef. Instead, it only produced eggs. Moreover, it wasn’t made of bones, muscles, organs, skin and fur. Instead, it was only made of flesh, bone, cartilage, feathers, and other tissues. ","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure wasn’t made of bones, muscles, organs, skin and fur. Instead, it was only made of flesh, bone, cartilage, feathers, and other tissues. Moreover, it didn’t provide milk and beef. Instead, it only produced eggs. ",Is the thing after the special operation a chicken or a cow ?,The thing after the special operation is,a chicken. It is,chicken,"chicken.
Explanation:",chicken
3,96,living_natural_kinds,l_1_chickencow_1,4,chicken_to_cow_app_original_comp_preserved_purpose_preserved,chicken_to_cow,chicken,cow,original,chicken,preserved,chicken,preserved,chicken,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure didn’t provide milk and beef. Instead, it only produced eggs. Moreover, it wasn’t made of bones, muscles, organs, skin and fur. Instead, it was only made of flesh, bone, cartilage, feathers, and other tissues. ","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure wasn’t made of bones, muscles, organs, skin and fur. Instead, it was only made of flesh, bone, cartilage, feathers, and other tissues. Moreover, it didn’t provide milk and beef. Instead, it only produced eggs. ",Is the thing after the special operation a chicken or a cow ?,The thing after the special operation is,a chicken. Because the,chicken,a chicken. Because a,chicken
4,96,living_natural_kinds,l_1_chickencow_1,5,chicken_to_cow_app_original_comp_preserved_purpose_preserved,chicken_to_cow,chicken,cow,original,chicken,preserved,chicken,preserved,chicken,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure didn’t provide milk and beef. Instead, it only produced eggs. Moreover, it wasn’t made of bones, muscles, organs, skin and fur. Instead, it was only made of flesh, bone, cartilage, feathers, and other tissues. ","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure wasn’t made of bones, muscles, organs, skin and fur. Instead, it was only made of flesh, bone, cartilage, feathers, and other tissues. Moreover, it didn’t provide milk and beef. Instead, it only produced eggs. ",Is the thing after the special operation a chicken or a cow ?,The thing after the special operation is,a cow because it is,cow,a chicken because it looks,chicken
5,97,living_natural_kinds,l_1_chickencow_2,1,chicken_to_cow_app_original_comp_preserved_purpose_changed,chicken_to_cow,chicken,cow,original,chicken,preserved,chicken,changed,cow,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure didn’t produce eggs. Instead, it only provided milk and beef. Moreover, it wasn’t made of bones, muscles, organs, skin and fur. Instead, it was only made of flesh, bone, cartilage, feathers, and other tissues.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure wasn’t made of bones, muscles, organs, skin and fur. Instead, it was only made of flesh, bone, cartilage, feathers, and other tissues. Moreover, it didn’t produce eggs. Instead, it only provided milk and beef.",Is the thing after the special operation a chicken or a cow ?,The thing after the special operation is,a chicken. If the,chicken,a cow. It looks,cow
6,97,living_natural_kinds,l_1_chickencow_2,2,chicken_to_cow_app_original_comp_preserved_purpose_changed,chicken_to_cow,chicken,cow,original,chicken,preserved,chicken,changed,cow,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure didn’t produce eggs. Instead, it only provided milk and beef. Moreover, it wasn’t made of bones, muscles, organs, skin and fur. Instead, it was only made of flesh, bone, cartilage, feathers, and other tissues.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure wasn’t made of bones, muscles, organs, skin and fur. Instead, it was only made of flesh, bone, cartilage, feathers, and other tissues. Moreover, it didn’t produce eggs. Instead, it only provided milk and beef.",Is the thing after the special operation a chicken or a cow ?,The thing after the special operation is,a chicken because it is,chicken,a chicken. Because it,chicken
7,97,living_natural_kinds,l_1_chickencow_2,3,chicken_to_cow_app_original_comp_preserved_purpose_changed,chicken_to_cow,chicken,cow,original,chicken,preserved,chicken,changed,cow,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure didn’t produce eggs. Instead, it only provided milk and beef. Moreover, it wasn’t made of bones, muscles, organs, skin and fur. Instead, it was only made of flesh, bone, cartilage, feathers, and other tissues.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure wasn’t made of bones, muscles, organs, skin and fur. Instead, it was only made of flesh, bone, cartilage, feathers, and other tissues. Moreover, it didn’t produce eggs. Instead, it only provided milk and beef.",Is the thing after the special operation a chicken or a cow ?,The thing after the special operation is,"a chicken. Because,",chicken,a chicken. The operation,chicken
8,97,living_natural_kinds,l_1_chickencow_2,4,chicken_to_cow_app_original_comp_preserved_purpose_changed,chicken_to_cow,chicken,cow,original,chicken,preserved,chicken,changed,cow,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure didn’t produce eggs. Instead, it only provided milk and beef. Moreover, it wasn’t made of bones, muscles, organs, skin and fur. Instead, it was only made of flesh, bone, cartilage, feathers, and other tissues.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure wasn’t made of bones, muscles, organs, skin and fur. Instead, it was only made of flesh, bone, cartilage, feathers, and other tissues. Moreover, it didn’t produce eggs. Instead, it only provided milk and beef.",Is the thing after the special operation a chicken or a cow ?,The thing after the special operation is,"a chicken, since it",chicken,a chicken. Because after,chicken
9,97,living_natural_kinds,l_1_chickencow_2,5,chicken_to_cow_app_original_comp_preserved_purpose_changed,chicken_to_cow,chicken,cow,original,chicken,preserved,chicken,changed,cow,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure didn’t produce eggs. Instead, it only provided milk and beef. Moreover, it wasn’t made of bones, muscles, organs, skin and fur. Instead, it was only made of flesh, bone, cartilage, feathers, and other tissues.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a chicken into a cow. After the special procedure, the thing looked like a chicken. After running some tests, they found that the thing after the special procedure wasn’t made of bones, muscles, organs, skin and fur. Instead, it was only made of flesh, bone, cartilage, feathers, and other tissues. Moreover, it didn’t produce eggs. Instead, it only provided milk and beef.",Is the thing after the special operation a chicken or a cow ?,The thing after the special operation is,a cow. Because the,cow,a chicken because the thing,chicken
