category,version_number,rep_id,condition_description,items,item_original,item_new,appearance_type,whose_appearance,comp_condition,whose_comp,scenario_1,scenario_2,question,question_mask,gpt3_response_scenario_1,gpt3_response_scenario_2
non_living_natural_kinds,nl_1_lc_1,1,lightning_to_cloud_app_original_comp_preserved,lightning_to_cloud,lightning,cloud,original,lightning,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn’t made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,"The thing after the operation is not a cloud, but lightning.",The thing after the special operation is lightning.
non_living_natural_kinds,nl_1_lc_1,2,lightning_to_cloud_app_original_comp_preserved,lightning_to_cloud,lightning,cloud,original,lightning,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn’t made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,The thing after the special operation is not lightning or a cloud.,"The thing after the special operation is not a cloud, but it is lightning."
non_living_natural_kinds,nl_1_lc_1,3,lightning_to_cloud_app_original_comp_preserved,lightning_to_cloud,lightning,cloud,original,lightning,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn’t made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,The thing after the special procedure is not considered to be a cloud because it is not made up of water droplets.,The thing after the special procedure is lightning.
non_living_natural_kinds,nl_1_lc_1,4,lightning_to_cloud_app_original_comp_preserved,lightning_to_cloud,lightning,cloud,original,lightning,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn’t made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,The thing after the special operation is not lightning or a cloud.,"Because the thing after the operation is only made up of charged particles, it is not a cloud."
non_living_natural_kinds,nl_1_lc_1,5,lightning_to_cloud_app_original_comp_preserved,lightning_to_cloud,lightning,cloud,original,lightning,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn’t made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,"It depends on how you define ""lightning."" If you consider anything that appears to be lightning and is made up of charged particles to be lightning, then the thing after the special operation is lightning. If, however, you consider only",The thing after the special operation is Lightning.
non_living_natural_kinds,nl_1_lc_2,1,lightning_to_cloud_app_original_comp_changed,lightning_to_cloud,lightning,cloud,original,lightning,changed,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,"The thing after the special operation is a cloud, not lightning.",The thing after the special operation is neither lightning nor a cloud.
non_living_natural_kinds,nl_1_lc_2,2,lightning_to_cloud_app_original_comp_changed,lightning_to_cloud,lightning,cloud,original,lightning,changed,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,Only a cloud.,"Despite the fact that the thing after the special procedure may look like lightning, it is technically a cloud since it is only made of tiny droplets of water and ice crystals."
non_living_natural_kinds,nl_1_lc_2,3,lightning_to_cloud_app_original_comp_changed,lightning_to_cloud,lightning,cloud,original,lightning,changed,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,The thing after the special operation is a cloud.,The thing after the special operation is a cloud.
non_living_natural_kinds,nl_1_lc_2,4,lightning_to_cloud_app_original_comp_changed,lightning_to_cloud,lightning,cloud,original,lightning,changed,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,The thing after the special operation is a cloud.,The thing after the special procedure is a cloud.
non_living_natural_kinds,nl_1_lc_2,5,lightning_to_cloud_app_original_comp_changed,lightning_to_cloud,lightning,cloud,original,lightning,changed,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,The thing after the special operation is a cloud.,The thing after the specialtiesed procedure is a cloud.
