,category,version_number,rep_id,condition_description,items,item_original,item_new,appearance_type,whose_appearance,telo_condition,whose_telo,scenario_1,scenario_2,question,question_mask,bloom_response_scenario_1,bloom_response_scenario_1_retrieved,bloom_response_scenario_2,bloom_response_scenario_2_retrieved
96,artifacts,a_1_bm_1,1,bed_to_microwave_app_original_telo_preserved,bed_to_microwave,bed,microwave,original,bed,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure didn’t heat up food. Instead, it only provided a place to sleep.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure didn’t heat up food. Instead, it only provided a place to sleep. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,"a microwave. Because, the",microwave,a microwave. The thing after,microwave
96,artifacts,a_1_bm_1,2,bed_to_microwave_app_original_telo_preserved,bed_to_microwave,bed,microwave,original,bed,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure didn’t heat up food. Instead, it only provided a place to sleep.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure didn’t heat up food. Instead, it only provided a place to sleep. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,"a microwave, because the word",microwave,a bed. In the special,bed
96,artifacts,a_1_bm_1,3,bed_to_microwave_app_original_telo_preserved,bed_to_microwave,bed,microwave,original,bed,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure didn’t heat up food. Instead, it only provided a place to sleep.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure didn’t heat up food. Instead, it only provided a place to sleep. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,a microwave because the scientists are,microwave,a bed. The reason is,bed
96,artifacts,a_1_bm_1,4,bed_to_microwave_app_original_telo_preserved,bed_to_microwave,bed,microwave,original,bed,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure didn’t heat up food. Instead, it only provided a place to sleep.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure didn’t heat up food. Instead, it only provided a place to sleep. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,a microwave because the question is,microwave,both a microwave and a bed,unsure
96,artifacts,a_1_bm_1,5,bed_to_microwave_app_original_telo_preserved,bed_to_microwave,bed,microwave,original,bed,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure didn’t heat up food. Instead, it only provided a place to sleep.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure didn’t heat up food. Instead, it only provided a place to sleep. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,"a microwave, but it is",microwave,a microwave. It looks like,microwave
97,artifacts,a_1_bm_2,1,bed_to_microwave_app_original_telo_changed,bed_to_microwave,bed,microwave,original,bed,changed,microwave,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure didn’t provide a place to sleep. Instead, it only heated up food.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure didn’t provide a place to sleep. Instead, it only heated up food. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,a microwave because it can only,microwave,a microwave because you can use,microwave
97,artifacts,a_1_bm_2,2,bed_to_microwave_app_original_telo_changed,bed_to_microwave,bed,microwave,original,bed,changed,microwave,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure didn’t provide a place to sleep. Instead, it only heated up food.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure didn’t provide a place to sleep. Instead, it only heated up food. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,not a bed. The thing,unsure,a microwave. Because the thing,microwave
97,artifacts,a_1_bm_2,3,bed_to_microwave_app_original_telo_changed,bed_to_microwave,bed,microwave,original,bed,changed,microwave,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure didn’t provide a place to sleep. Instead, it only heated up food.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure didn’t provide a place to sleep. Instead, it only heated up food. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,a microwave. Because the thing,microwave,"a microwave, because they found",microwave
97,artifacts,a_1_bm_2,4,bed_to_microwave_app_original_telo_changed,bed_to_microwave,bed,microwave,original,bed,changed,microwave,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure didn’t provide a place to sleep. Instead, it only heated up food.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure didn’t provide a place to sleep. Instead, it only heated up food. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,a microwave. According to the,microwave,a microwave. They are very,microwave
97,artifacts,a_1_bm_2,5,bed_to_microwave_app_original_telo_changed,bed_to_microwave,bed,microwave,original,bed,changed,microwave,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure didn’t provide a place to sleep. Instead, it only heated up food.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure didn’t provide a place to sleep. Instead, it only heated up food. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,a microwave. Because in the,microwave,"a microwave, but I’m not",microwave
98,artifacts,a_1_bm_3,1,bed_to_microwave_app_new_telo_preserved,bed_to_microwave,bed,microwave,new,microwave,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure didn’t heat up food. Instead, it only provided a place to sleep.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure didn’t heat up food. Instead, it only provided a place to sleep. After the special procedure, the thing looked like a microwave.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,"a microwave, because the special",microwave,"a bed.
Reason:",bed
