paper,study,type,type_category,stat_test_original,stat_test_new,is_natural_kind,condition,mask_pred_1,mask_pred_2,scenario_1,question_1_1_type,question_1_1_text,question_1_1_mask,question_1_2_type,question_1_2_text,question_1_2_mask,question_1_3_type,question_1_3_text,question_1_3_mask,question_1_4_type,question_1_4_text,question_1_4_mask,question_1_5_type,question_1_5_text,question_1_5_mask,question_1_6_type,question_1_6_text,question_1_6_mask,scenario_2,question_2_1_type,question_2_1_text,question_2_1_mask,hypotheses
rose_nichols_2019,1,transformation,superficial,"t.test(response, telos)",chisq.test(response ~ telos),TRUE,bee_telo_preserved,bee,spider,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special operation on a bee. They removed its wings and antennae, lengthened its legs and added a new pair of legs. They also inserted into the back of it something for making webs and trained the animal so that it would eat insects. After the special operation, this thing looked like a spider. After running some tests, they found that the thing after the special operation didn’t spin webs to catch insects and eat them. Instead, it only pollinated flowers and made honey.",categorization,Is the thing after the special operation a bee or spider?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of bees?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher bee ratings on purpose preserved.
rose_nichols_2019,1,transformation,superficial,"t.test(response, telos)",chisq.test(response ~ telos),TRUE,bee_telo_changed,bee,spider,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special operation on a bee. They removed its wings and antennae, lengthened its legs and added a new pair of legs. They also inserted into the back of it something for making webs and trained the animal so that it would eat insects. After the special operation, this thing looked like a spider. After running some tests, they found that the thing after the special operation didn’t pollinate flowers or make honey. Instead, it only spun webs to catch insects and eat them.",categorization,Is the thing after the special operation a bee or spider?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of bees?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher spider ratings on purpose changed.
rose_nichols_2019,2,transformation,inside_removal,"t.test(response, telos)",chisq.test(response ~ telos),TRUE,bee_telo_preserved,bee,spider,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special operation on a bee. They decide to remove the insides of the bee and replace them with the insides from a spider. After the special operation, this thing still looked like a bee. After running some tests, they found that the thing after the special operation didn’t spin webs to catch insects and eat them. Instead, it only pollinated flowers and made honey.",categorization,Is the thing after the special operation a bee or spider?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of bees?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher bee ratings on purpose preserved.
rose_nichols_2019,2,transformation,inside_removal,"t.test(response, telos)",chisq.test(response ~ telos),TRUE,bee_telo_changed,bee,spider,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special operation on a bee. They decide to remove the insides of the bee and replace them with the insides from a spider. After the special operation, this thing still looked like a bee. After running some tests, they found that the thing after the special operation didn’t pollinate flowers or make honey. Instead, it only spun webs to catch insects and eat them.",categorization,Is the thing after the special operation a bee or spider?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of bees?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher spider ratings on purpose changed.
rose_nichols_2019,3,nature_nurture,environment,"t.test(response, telos)",chisq.test(response ~ telos),TRUE,bee_telo_preserved,bee,spider,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special experiment with a newborn bee. After an egg hatches, they place the newborn bee in a cage full of spiders. After two weeks, Suzy and Andy found that the thing that was placed in the cage full of spiders didn’t spin webs to catch insects and eat them. Instead, it only pollinated flowers and made honey.",categorization,"Is the thing placed in the cage full of spiders, after two weeks, a bee or spider? ","After the special operation, the thing is a",,,,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher bee ratings on purpose preserved.
rose_nichols_2019,3,nature_nurture,environment,"t.test(response, telos)",chisq.test(response ~ telos),TRUE,bee_telo_changed,bee,spider,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special experiment with a bee. After an egg hatches, they place the bee in a cage full of spiders. After two weeks, Suzy and Andy found that the thing that was placed in the cage full of spiders didn’t pollinate flowers or make honey. Instead, it only spun webs to catch insects and eat them.",categorization,"Is the thing placed in the cage full of spiders, after two weeks, a bee or spider? ","After the special operation, the thing is a",,,,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher spider ratings on purpose changed.
rose_nichols_2019,4,nature_nurture,DNA,"t.test(response, telos)",chisq.test(response ~ telos),TRUE,bee_telo_preserved_fertilized_by_bee,bee,spider,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special operation on a queen bee. They removed its wings and antennae, lengthened its legs and added a new pair of legs. They also inserted into the back of it something for making webs and trained the animal so that it would eat insects. After the special operation, this thing looked like a spider. After running some tests, they found that the thing after the special operation didn’t spin webs to catch insects and eat them. Instead, it only pollinated flowers and made honey.",categorization,Is the thing after the special operation a bee or spider?,"After the special operation, the thing is a",,,,,,,,,,,,,,,,The scientists now want to know what the thing's offspring will be like. So they devise a special technique to have its eggs fertilized by a bee.,inheritance,Will the things that hatch from the eggs be bees or spiders?,,There will be a lower spider ratings when the telos of the original bee was preserved.
rose_nichols_2019,4,nature_nurture,DNA,"t.test(response, telos)",chisq.test(response ~ telos),TRUE,bee_telo_preserved_fertilized_by_spider,bee,spider,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special operation on a queen bee. They removed its wings and antennae, lengthened its legs and added a new pair of legs. They also inserted into the back of it something for making webs and trained the animal so that it would eat insects. After the special operation, this thing looked like a spider. After running some tests, they found that the thing after the special operation didn’t spin webs to catch insects and eat them. Instead, it only pollinated flowers and made honey.",categorization,Is the thing after the special operation a bee or spider?,"After the special operation, the thing is a",,,,,,,,,,,,,,,,The scientists now want to know what the thing's offspring will be like. So they devise a special technique to have its eggs fertilized by a spider.,inheritance,Will the things that hatch from the eggs be bees or spiders?,,There will be a lower spider ratings when the telos of the original bee was preserved.
rose_nichols_2019,4,nature_nurture,DNA,"t.test(response, telos)",chisq.test(response ~ telos),TRUE,bee_telo_changed_fertilized_by_bee,bee,spider,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special operation on a queen bee. They removed its wings and antennae, lengthened its legs and added a new pair of legs. They also inserted into the back of it something for making webs and trained the animal so that it would eat insects. After the special operation, this thing looked like a spider. After running some tests, they found that the thing after the special operation didn’t pollinate flowers or make honey. Instead, it only spun webs to catch insects and eat them.",categorization,Is the thing after the special operation a bee or spider?,"After the special operation, the thing is a",,,,,,,,,,,,,,,,The scientists now want to know what the thing's offspring will be like. So they devise a special technique to have its eggs fertilized by a bee.,inheritance,Will the things that hatch from the eggs be bees or spiders?,,There will be a higher spider ratings when the telos of the original bee was changed to conform to the telos of a spider.
rose_nichols_2019,4,nature_nurture,DNA,"t.test(response, telos)",chisq.test(response ~ telos),TRUE,bee_telo_changed_fertilized_by_spider,bee,spider,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special operation on a queen bee. They removed its wings and antennae, lengthened its legs and added a new pair of legs. They also inserted into the back of it something for making webs and trained the animal so that it would eat insects. After the special operation, this thing looked like a spider. After running some tests, they found that the thing after the special operation didn’t pollinate flowers or make honey. Instead, it only spun webs to catch insects and eat them.",categorization,Is the thing after the special operation a bee or spider?,"After the special operation, the thing is a",,,,,,,,,,,,,,,,The scientists now want to know what the thing's offspring will be like. So they devise a special technique to have its eggs fertilized by a spider.,inheritance,Will the things that hatch from the eggs be bees or spiders?,,There will be a higher spider ratings when the telos of the original bee was changed to conform to the telos of a spider.
