category,version_number,condition_description,items,item_original,item_new,appearance_type,whose_appearance,comp_condition,whose_comp,scenario_1,scenario_2,question,question_mask
non_living_natural_kinds,nl_1_lc_1,lightning_to_cloud_app_original_comp_preserved,lightning_to_cloud,lightning,cloud,original,lightning,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn’t made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is
non_living_natural_kinds,nl_1_lc_2,lightning_to_cloud_app_original_comp_changed,lightning_to_cloud,lightning,cloud,original,lightning,changed,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is
non_living_natural_kinds,nl_1_lc_3,lightning_to_cloud_app_new_comp_preserved,lightning_to_cloud,lightning,cloud,new,cloud,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like lightning. ",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is
non_living_natural_kinds,nl_1_lc_4,lightning_to_cloud_app_new_comp_changed,lightning_to_cloud,lightning,cloud,new,cloud,changed,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is
non_living_natural_kinds,nl_2_lsun_1,lightning_to_sun_app_original_comp_preserved,lightning_to_sun,lightning,sun,original,lightning,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is
non_living_natural_kinds,nl_2_lsun_2,lightning_to_sun_app_original_comp_changed,lightning_to_sun,lightning,sun,original,lightning,changed,sun,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was made mostly of hydrogen and helium.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was made mostly of hydrogen and helium. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is
non_living_natural_kinds,nl_2_lsun_3,lightning_to_sun_app_new_comp_preserved,lightning_to_sun,lightning,sun,new,sun,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like a sun.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is
non_living_natural_kinds,nl_2_lsun_4,lightning_to_sun_app_new_comp_changed,lightning_to_sun,lightning,sun,new,sun,changed,sun,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like a sun. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was made mostly of hydrogen and helium.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was made mostly of hydrogen and helium. After the special procedure, the thing looked like a sun.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is
non_living_natural_kinds,nl_3_lsoil_1,lightning_to_soil_app_original_comp_preserved,lightning_to_soil,lightning,soil,original,lightning,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into soil. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made of minerals, water, air, and organic matter. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into soil. After running some tests, they found that the thing after the special procedure wasn't made of minerals, water, air, and organic matter. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or soil?,The thing after the special operation is
non_living_natural_kinds,nl_3_lsoil_2,lightning_to_soil_app_original_comp_changed,lightning_to_soil,lightning,soil,original,lightning,changed,soil,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into soil. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of minerals, water, air, and organic matter.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into soil. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of minerals, water, air, and organic matter. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or soil?,The thing after the special operation is
non_living_natural_kinds,nl_3_lsoil_3,lightning_to_soil_app_new_comp_preserved,lightning_to_soil,lightning,soil,new,soil,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into soil. After the special procedure, the thing looked like soil. After running some tests, they found that the thing after the special procedure wasn't made of minerals, water, air, and organic matter. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into soil. After running some tests, they found that the thing after the special procedure wasn't made of minerals, water, air, and organic matter. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like soil.",Is the thing after the special operation lightning or soil?,The thing after the special operation is
