paper,study ,rep_id,type,type_category,stat_test_original,stat_test_new,is_natural_kind,condition,scenario_1,question_1_1_type,question_1_1_text,question_1_1_mask,question_1_2_type,question_1_2_text,question_1_2_mask,question_1_3_type,question_1_3_text,question_1_3_mask,question_1_4_type,question_1_4_text,question_1_4_mask,question_1_5_type,question_1_5_text,question_1_5_mask,question_1_6_type,question_1_6_text,question_1_6_mask,scenario_2,question_2_1_type,question_2_1_text,Unnamed: 30,hypotheses,bloom_prompt_question1_1,bloom_response_question_1_1,categorization_rating
rose_nichols_2019,3,1,nature_nurture,environment,"t.test(response, telos)",chisq.test(response ~ telos),TRUE,bee_telo_preserved,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special experiment with a newborn bee. After an egg hatches, they place the newborn bee in a cage full of spiders. After two weeks, Suzy and Andy found that the thing that was placed in the cage full of spiders didn’t spin webs to catch insects and eat them. Instead, it only pollinated flowers and made honey.",categorization,"Is the thing placed in the cage full of spiders, after two weeks, a bee or spider? ","After the special operation, the thing is a",,,,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher bee ratings on purpose preserved.,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special experiment with a newborn bee. After an egg hatches, they place the newborn bee in a cage full of spiders. After two weeks, Suzy and Andy found that the thing that was placed in the cage full of spiders didn’t spin webs to catch insects and eat them. Instead, it only pollinated flowers and made honey. Is the thing placed in the cage full of spiders, after two weeks, a bee or spider? I think it is a",spider.,spider
rose_nichols_2019,3,2,nature_nurture,environment,"t.test(response, telos)",chisq.test(response ~ telos),TRUE,bee_telo_preserved,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special experiment with a newborn bee. After an egg hatches, they place the newborn bee in a cage full of spiders. After two weeks, Suzy and Andy found that the thing that was placed in the cage full of spiders didn’t spin webs to catch insects and eat them. Instead, it only pollinated flowers and made honey.",categorization,"Is the thing placed in the cage full of spiders, after two weeks, a bee or spider? ","After the special operation, the thing is a",,,,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher bee ratings on purpose preserved.,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special experiment with a newborn bee. After an egg hatches, they place the newborn bee in a cage full of spiders. After two weeks, Suzy and Andy found that the thing that was placed in the cage full of spiders didn’t spin webs to catch insects and eat them. Instead, it only pollinated flowers and made honey. Is the thing placed in the cage full of spiders, after two weeks, a bee or spider? I think it is a",spider.,spider
rose_nichols_2019,3,3,nature_nurture,environment,"t.test(response, telos)",chisq.test(response ~ telos),TRUE,bee_telo_preserved,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special experiment with a newborn bee. After an egg hatches, they place the newborn bee in a cage full of spiders. After two weeks, Suzy and Andy found that the thing that was placed in the cage full of spiders didn’t spin webs to catch insects and eat them. Instead, it only pollinated flowers and made honey.",categorization,"Is the thing placed in the cage full of spiders, after two weeks, a bee or spider? ","After the special operation, the thing is a",,,,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher bee ratings on purpose preserved.,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special experiment with a newborn bee. After an egg hatches, they place the newborn bee in a cage full of spiders. After two weeks, Suzy and Andy found that the thing that was placed in the cage full of spiders didn’t spin webs to catch insects and eat them. Instead, it only pollinated flowers and made honey. Is the thing placed in the cage full of spiders, after two weeks, a bee or spider? I think it is a",bee.,bee
rose_nichols_2019,3,4,nature_nurture,environment,"t.test(response, telos)",chisq.test(response ~ telos),TRUE,bee_telo_preserved,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special experiment with a newborn bee. After an egg hatches, they place the newborn bee in a cage full of spiders. After two weeks, Suzy and Andy found that the thing that was placed in the cage full of spiders didn’t spin webs to catch insects and eat them. Instead, it only pollinated flowers and made honey.",categorization,"Is the thing placed in the cage full of spiders, after two weeks, a bee or spider? ","After the special operation, the thing is a",,,,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher bee ratings on purpose preserved.,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special experiment with a newborn bee. After an egg hatches, they place the newborn bee in a cage full of spiders. After two weeks, Suzy and Andy found that the thing that was placed in the cage full of spiders didn’t spin webs to catch insects and eat them. Instead, it only pollinated flowers and made honey. Is the thing placed in the cage full of spiders, after two weeks, a bee or spider? I think it is a",bee.,bee
rose_nichols_2019,3,5,nature_nurture,environment,"t.test(response, telos)",chisq.test(response ~ telos),TRUE,bee_telo_preserved,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special experiment with a newborn bee. After an egg hatches, they place the newborn bee in a cage full of spiders. After two weeks, Suzy and Andy found that the thing that was placed in the cage full of spiders didn’t spin webs to catch insects and eat them. Instead, it only pollinated flowers and made honey.",categorization,"Is the thing placed in the cage full of spiders, after two weeks, a bee or spider? ","After the special operation, the thing is a",,,,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher bee ratings on purpose preserved.,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special experiment with a newborn bee. After an egg hatches, they place the newborn bee in a cage full of spiders. After two weeks, Suzy and Andy found that the thing that was placed in the cage full of spiders didn’t spin webs to catch insects and eat them. Instead, it only pollinated flowers and made honey. Is the thing placed in the cage full of spiders, after two weeks, a bee or spider? I think it is a",bee because,bee
rose_nichols_2019,3,6,nature_nurture,environment,"t.test(response, telos)",chisq.test(response ~ telos),TRUE,bee_telo_preserved,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special experiment with a newborn bee. After an egg hatches, they place the newborn bee in a cage full of spiders. After two weeks, Suzy and Andy found that the thing that was placed in the cage full of spiders didn’t spin webs to catch insects and eat them. Instead, it only pollinated flowers and made honey.",categorization,"Is the thing placed in the cage full of spiders, after two weeks, a bee or spider? ","After the special operation, the thing is a",,,,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher bee ratings on purpose preserved.,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special experiment with a newborn bee. After an egg hatches, they place the newborn bee in a cage full of spiders. After two weeks, Suzy and Andy found that the thing that was placed in the cage full of spiders didn’t spin webs to catch insects and eat them. Instead, it only pollinated flowers and made honey. Is the thing placed in the cage full of spiders, after two weeks, a bee or spider? I think it is a",bee.,bee
rose_nichols_2019,3,7,nature_nurture,environment,"t.test(response, telos)",chisq.test(response ~ telos),TRUE,bee_telo_preserved,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special experiment with a newborn bee. After an egg hatches, they place the newborn bee in a cage full of spiders. After two weeks, Suzy and Andy found that the thing that was placed in the cage full of spiders didn’t spin webs to catch insects and eat them. Instead, it only pollinated flowers and made honey.",categorization,"Is the thing placed in the cage full of spiders, after two weeks, a bee or spider? ","After the special operation, the thing is a",,,,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher bee ratings on purpose preserved.,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special experiment with a newborn bee. After an egg hatches, they place the newborn bee in a cage full of spiders. After two weeks, Suzy and Andy found that the thing that was placed in the cage full of spiders didn’t spin webs to catch insects and eat them. Instead, it only pollinated flowers and made honey. Is the thing placed in the cage full of spiders, after two weeks, a bee or spider? I think it is a",bee.,bee
rose_nichols_2019,3,8,nature_nurture,environment,"t.test(response, telos)",chisq.test(response ~ telos),TRUE,bee_telo_preserved,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special experiment with a newborn bee. After an egg hatches, they place the newborn bee in a cage full of spiders. After two weeks, Suzy and Andy found that the thing that was placed in the cage full of spiders didn’t spin webs to catch insects and eat them. Instead, it only pollinated flowers and made honey.",categorization,"Is the thing placed in the cage full of spiders, after two weeks, a bee or spider? ","After the special operation, the thing is a",,,,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher bee ratings on purpose preserved.,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special experiment with a newborn bee. After an egg hatches, they place the newborn bee in a cage full of spiders. After two weeks, Suzy and Andy found that the thing that was placed in the cage full of spiders didn’t spin webs to catch insects and eat them. Instead, it only pollinated flowers and made honey. Is the thing placed in the cage full of spiders, after two weeks, a bee or spider? I think it is a",bee.,bee
rose_nichols_2019,3,9,nature_nurture,environment,"t.test(response, telos)",chisq.test(response ~ telos),TRUE,bee_telo_preserved,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special experiment with a newborn bee. After an egg hatches, they place the newborn bee in a cage full of spiders. After two weeks, Suzy and Andy found that the thing that was placed in the cage full of spiders didn’t spin webs to catch insects and eat them. Instead, it only pollinated flowers and made honey.",categorization,"Is the thing placed in the cage full of spiders, after two weeks, a bee or spider? ","After the special operation, the thing is a",,,,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher bee ratings on purpose preserved.,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special experiment with a newborn bee. After an egg hatches, they place the newborn bee in a cage full of spiders. After two weeks, Suzy and Andy found that the thing that was placed in the cage full of spiders didn’t spin webs to catch insects and eat them. Instead, it only pollinated flowers and made honey. Is the thing placed in the cage full of spiders, after two weeks, a bee or spider? I think it is a",bee because,bee
rose_nichols_2019,3,10,nature_nurture,environment,"t.test(response, telos)",chisq.test(response ~ telos),TRUE,bee_telo_preserved,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special experiment with a newborn bee. After an egg hatches, they place the newborn bee in a cage full of spiders. After two weeks, Suzy and Andy found that the thing that was placed in the cage full of spiders didn’t spin webs to catch insects and eat them. Instead, it only pollinated flowers and made honey.",categorization,"Is the thing placed in the cage full of spiders, after two weeks, a bee or spider? ","After the special operation, the thing is a",,,,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher bee ratings on purpose preserved.,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special experiment with a newborn bee. After an egg hatches, they place the newborn bee in a cage full of spiders. After two weeks, Suzy and Andy found that the thing that was placed in the cage full of spiders didn’t spin webs to catch insects and eat them. Instead, it only pollinated flowers and made honey. Is the thing placed in the cage full of spiders, after two weeks, a bee or spider? I think it is a",bee.,bee
