,paper,study,rep_id,type,type_category,stat_test_original,stat_test_new,is_natural_kind,condition,mask_pred_1,mask_pred_2,scenario_1,question_1_1_type,question_1_1_text,question_1_1_mask,question_1_2_type,question_1_2_text,question_1_2_mask,question_1_3_type,question_1_3_text,question_1_3_mask,question_1_4_type,question_1_4_text,question_1_4_mask,question_1_5_type,question_1_5_text,question_1_5_mask,question_1_6_type,question_1_6_text,question_1_6_mask,scenario_2,question_2_1_type,question_2_1_text,question_2_1_mask,hypotheses,bloom_prompt_question2_1,bloom_response_question_2_1,categorization_rating
6,rose_nichols_2019,4,1,nature_nurture,DNA,"t.test(response, telos)",chisq.test(response ~ telos),TRUE,bee_telo_preserved_fertilized_by_bee,bee,spider,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special operation on a queen bee. They removed its wings and antennae, lengthened its legs and added a new pair of legs. They also inserted into the back of it something for making webs and trained the animal so that it would eat insects. After the special operation, this thing looked like a spider. After running some tests, they found that the thing after the special operation didn’t spin webs to catch insects and eat them. Instead, it only pollinated flowers and made honey.",categorization,Is the thing after the special operation a bee or spider?,"After the special operation, the thing is a",,,,,,,,,,,,,,,,The scientists now want to know what the thing's offspring will be like. So they devise a special technique to have its eggs fertilized by a bee.,inheritance,Will the things that hatch from the eggs be bees or spiders?,,There will be a lower spider ratings when the telos of the original bee was preserved.,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special operation on a queen bee. They removed its wings and antennae, lengthened its legs and added a new pair of legs. They also inserted into the back of it something for making webs and trained the animal so that it would eat insects. After the special operation, this thing looked like a spider. After running some tests, they found that the thing after the special operation didn’t spin webs to catch insects and eat them. Instead, it only pollinated flowers and made honey.The scientists now want to know what the thing's offspring will be like. So they devise a special technique to have its eggs fertilized by a bee. Will the things that hatch from the eggs be bees or spiders? I think the things will be ",spiders.,spider
6,rose_nichols_2019,4,2,nature_nurture,DNA,"t.test(response, telos)",chisq.test(response ~ telos),TRUE,bee_telo_preserved_fertilized_by_bee,bee,spider,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special operation on a queen bee. They removed its wings and antennae, lengthened its legs and added a new pair of legs. They also inserted into the back of it something for making webs and trained the animal so that it would eat insects. After the special operation, this thing looked like a spider. After running some tests, they found that the thing after the special operation didn’t spin webs to catch insects and eat them. Instead, it only pollinated flowers and made honey.",categorization,Is the thing after the special operation a bee or spider?,"After the special operation, the thing is a",,,,,,,,,,,,,,,,The scientists now want to know what the thing's offspring will be like. So they devise a special technique to have its eggs fertilized by a bee.,inheritance,Will the things that hatch from the eggs be bees or spiders?,,There will be a lower spider ratings when the telos of the original bee was preserved.,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special operation on a queen bee. They removed its wings and antennae, lengthened its legs and added a new pair of legs. They also inserted into the back of it something for making webs and trained the animal so that it would eat insects. After the special operation, this thing looked like a spider. After running some tests, they found that the thing after the special operation didn’t spin webs to catch insects and eat them. Instead, it only pollinated flowers and made honey.The scientists now want to know what the thing's offspring will be like. So they devise a special technique to have its eggs fertilized by a bee. Will the things that hatch from the eggs be bees or spiders? I think the things will be ",spiders. But I,spider
6,rose_nichols_2019,4,3,nature_nurture,DNA,"t.test(response, telos)",chisq.test(response ~ telos),TRUE,bee_telo_preserved_fertilized_by_bee,bee,spider,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special operation on a queen bee. They removed its wings and antennae, lengthened its legs and added a new pair of legs. They also inserted into the back of it something for making webs and trained the animal so that it would eat insects. After the special operation, this thing looked like a spider. After running some tests, they found that the thing after the special operation didn’t spin webs to catch insects and eat them. Instead, it only pollinated flowers and made honey.",categorization,Is the thing after the special operation a bee or spider?,"After the special operation, the thing is a",,,,,,,,,,,,,,,,The scientists now want to know what the thing's offspring will be like. So they devise a special technique to have its eggs fertilized by a bee.,inheritance,Will the things that hatch from the eggs be bees or spiders?,,There will be a lower spider ratings when the telos of the original bee was preserved.,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special operation on a queen bee. They removed its wings and antennae, lengthened its legs and added a new pair of legs. They also inserted into the back of it something for making webs and trained the animal so that it would eat insects. After the special operation, this thing looked like a spider. After running some tests, they found that the thing after the special operation didn’t spin webs to catch insects and eat them. Instead, it only pollinated flowers and made honey.The scientists now want to know what the thing's offspring will be like. So they devise a special technique to have its eggs fertilized by a bee. Will the things that hatch from the eggs be bees or spiders? I think the things will be ",,unsure
6,rose_nichols_2019,4,4,nature_nurture,DNA,"t.test(response, telos)",chisq.test(response ~ telos),TRUE,bee_telo_preserved_fertilized_by_bee,bee,spider,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special operation on a queen bee. They removed its wings and antennae, lengthened its legs and added a new pair of legs. They also inserted into the back of it something for making webs and trained the animal so that it would eat insects. After the special operation, this thing looked like a spider. After running some tests, they found that the thing after the special operation didn’t spin webs to catch insects and eat them. Instead, it only pollinated flowers and made honey.",categorization,Is the thing after the special operation a bee or spider?,"After the special operation, the thing is a",,,,,,,,,,,,,,,,The scientists now want to know what the thing's offspring will be like. So they devise a special technique to have its eggs fertilized by a bee.,inheritance,Will the things that hatch from the eggs be bees or spiders?,,There will be a lower spider ratings when the telos of the original bee was preserved.,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special operation on a queen bee. They removed its wings and antennae, lengthened its legs and added a new pair of legs. They also inserted into the back of it something for making webs and trained the animal so that it would eat insects. After the special operation, this thing looked like a spider. After running some tests, they found that the thing after the special operation didn’t spin webs to catch insects and eat them. Instead, it only pollinated flowers and made honey.The scientists now want to know what the thing's offspring will be like. So they devise a special technique to have its eggs fertilized by a bee. Will the things that hatch from the eggs be bees or spiders? I think the things will be ",,unsure
6,rose_nichols_2019,4,5,nature_nurture,DNA,"t.test(response, telos)",chisq.test(response ~ telos),TRUE,bee_telo_preserved_fertilized_by_bee,bee,spider,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special operation on a queen bee. They removed its wings and antennae, lengthened its legs and added a new pair of legs. They also inserted into the back of it something for making webs and trained the animal so that it would eat insects. After the special operation, this thing looked like a spider. After running some tests, they found that the thing after the special operation didn’t spin webs to catch insects and eat them. Instead, it only pollinated flowers and made honey.",categorization,Is the thing after the special operation a bee or spider?,"After the special operation, the thing is a",,,,,,,,,,,,,,,,The scientists now want to know what the thing's offspring will be like. So they devise a special technique to have its eggs fertilized by a bee.,inheritance,Will the things that hatch from the eggs be bees or spiders?,,There will be a lower spider ratings when the telos of the original bee was preserved.,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special operation on a queen bee. They removed its wings and antennae, lengthened its legs and added a new pair of legs. They also inserted into the back of it something for making webs and trained the animal so that it would eat insects. After the special operation, this thing looked like a spider. After running some tests, they found that the thing after the special operation didn’t spin webs to catch insects and eat them. Instead, it only pollinated flowers and made honey.The scientists now want to know what the thing's offspring will be like. So they devise a special technique to have its eggs fertilized by a bee. Will the things that hatch from the eggs be bees or spiders? I think the things will be ",spiders.Because bees,spider
6,rose_nichols_2019,4,6,nature_nurture,DNA,"t.test(response, telos)",chisq.test(response ~ telos),TRUE,bee_telo_preserved_fertilized_by_bee,bee,spider,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special operation on a queen bee. They removed its wings and antennae, lengthened its legs and added a new pair of legs. They also inserted into the back of it something for making webs and trained the animal so that it would eat insects. After the special operation, this thing looked like a spider. After running some tests, they found that the thing after the special operation didn’t spin webs to catch insects and eat them. Instead, it only pollinated flowers and made honey.",categorization,Is the thing after the special operation a bee or spider?,"After the special operation, the thing is a",,,,,,,,,,,,,,,,The scientists now want to know what the thing's offspring will be like. So they devise a special technique to have its eggs fertilized by a bee.,inheritance,Will the things that hatch from the eggs be bees or spiders?,,There will be a lower spider ratings when the telos of the original bee was preserved.,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special operation on a queen bee. They removed its wings and antennae, lengthened its legs and added a new pair of legs. They also inserted into the back of it something for making webs and trained the animal so that it would eat insects. After the special operation, this thing looked like a spider. After running some tests, they found that the thing after the special operation didn’t spin webs to catch insects and eat them. Instead, it only pollinated flowers and made honey.The scientists now want to know what the thing's offspring will be like. So they devise a special technique to have its eggs fertilized by a bee. Will the things that hatch from the eggs be bees or spiders? I think the things will be ",spiders because the sp,spider
6,rose_nichols_2019,4,7,nature_nurture,DNA,"t.test(response, telos)",chisq.test(response ~ telos),TRUE,bee_telo_preserved_fertilized_by_bee,bee,spider,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special operation on a queen bee. They removed its wings and antennae, lengthened its legs and added a new pair of legs. They also inserted into the back of it something for making webs and trained the animal so that it would eat insects. After the special operation, this thing looked like a spider. After running some tests, they found that the thing after the special operation didn’t spin webs to catch insects and eat them. Instead, it only pollinated flowers and made honey.",categorization,Is the thing after the special operation a bee or spider?,"After the special operation, the thing is a",,,,,,,,,,,,,,,,The scientists now want to know what the thing's offspring will be like. So they devise a special technique to have its eggs fertilized by a bee.,inheritance,Will the things that hatch from the eggs be bees or spiders?,,There will be a lower spider ratings when the telos of the original bee was preserved.,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special operation on a queen bee. They removed its wings and antennae, lengthened its legs and added a new pair of legs. They also inserted into the back of it something for making webs and trained the animal so that it would eat insects. After the special operation, this thing looked like a spider. After running some tests, they found that the thing after the special operation didn’t spin webs to catch insects and eat them. Instead, it only pollinated flowers and made honey.The scientists now want to know what the thing's offspring will be like. So they devise a special technique to have its eggs fertilized by a bee. Will the things that hatch from the eggs be bees or spiders? I think the things will be ","spiders, because the",spider
6,rose_nichols_2019,4,8,nature_nurture,DNA,"t.test(response, telos)",chisq.test(response ~ telos),TRUE,bee_telo_preserved_fertilized_by_bee,bee,spider,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special operation on a queen bee. They removed its wings and antennae, lengthened its legs and added a new pair of legs. They also inserted into the back of it something for making webs and trained the animal so that it would eat insects. After the special operation, this thing looked like a spider. After running some tests, they found that the thing after the special operation didn’t spin webs to catch insects and eat them. Instead, it only pollinated flowers and made honey.",categorization,Is the thing after the special operation a bee or spider?,"After the special operation, the thing is a",,,,,,,,,,,,,,,,The scientists now want to know what the thing's offspring will be like. So they devise a special technique to have its eggs fertilized by a bee.,inheritance,Will the things that hatch from the eggs be bees or spiders?,,There will be a lower spider ratings when the telos of the original bee was preserved.,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special operation on a queen bee. They removed its wings and antennae, lengthened its legs and added a new pair of legs. They also inserted into the back of it something for making webs and trained the animal so that it would eat insects. After the special operation, this thing looked like a spider. After running some tests, they found that the thing after the special operation didn’t spin webs to catch insects and eat them. Instead, it only pollinated flowers and made honey.The scientists now want to know what the thing's offspring will be like. So they devise a special technique to have its eggs fertilized by a bee. Will the things that hatch from the eggs be bees or spiders? I think the things will be ",spiders. The bees,spider
6,rose_nichols_2019,4,9,nature_nurture,DNA,"t.test(response, telos)",chisq.test(response ~ telos),TRUE,bee_telo_preserved_fertilized_by_bee,bee,spider,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special operation on a queen bee. They removed its wings and antennae, lengthened its legs and added a new pair of legs. They also inserted into the back of it something for making webs and trained the animal so that it would eat insects. After the special operation, this thing looked like a spider. After running some tests, they found that the thing after the special operation didn’t spin webs to catch insects and eat them. Instead, it only pollinated flowers and made honey.",categorization,Is the thing after the special operation a bee or spider?,"After the special operation, the thing is a",,,,,,,,,,,,,,,,The scientists now want to know what the thing's offspring will be like. So they devise a special technique to have its eggs fertilized by a bee.,inheritance,Will the things that hatch from the eggs be bees or spiders?,,There will be a lower spider ratings when the telos of the original bee was preserved.,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special operation on a queen bee. They removed its wings and antennae, lengthened its legs and added a new pair of legs. They also inserted into the back of it something for making webs and trained the animal so that it would eat insects. After the special operation, this thing looked like a spider. After running some tests, they found that the thing after the special operation didn’t spin webs to catch insects and eat them. Instead, it only pollinated flowers and made honey.The scientists now want to know what the thing's offspring will be like. So they devise a special technique to have its eggs fertilized by a bee. Will the things that hatch from the eggs be bees or spiders? I think the things will be ",spiders. But you,spider
6,rose_nichols_2019,4,10,nature_nurture,DNA,"t.test(response, telos)",chisq.test(response ~ telos),TRUE,bee_telo_preserved_fertilized_by_bee,bee,spider,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special operation on a queen bee. They removed its wings and antennae, lengthened its legs and added a new pair of legs. They also inserted into the back of it something for making webs and trained the animal so that it would eat insects. After the special operation, this thing looked like a spider. After running some tests, they found that the thing after the special operation didn’t spin webs to catch insects and eat them. Instead, it only pollinated flowers and made honey.",categorization,Is the thing after the special operation a bee or spider?,"After the special operation, the thing is a",,,,,,,,,,,,,,,,The scientists now want to know what the thing's offspring will be like. So they devise a special technique to have its eggs fertilized by a bee.,inheritance,Will the things that hatch from the eggs be bees or spiders?,,There will be a lower spider ratings when the telos of the original bee was preserved.,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special operation on a queen bee. They removed its wings and antennae, lengthened its legs and added a new pair of legs. They also inserted into the back of it something for making webs and trained the animal so that it would eat insects. After the special operation, this thing looked like a spider. After running some tests, they found that the thing after the special operation didn’t spin webs to catch insects and eat them. Instead, it only pollinated flowers and made honey.The scientists now want to know what the thing's offspring will be like. So they devise a special technique to have its eggs fertilized by a bee. Will the things that hatch from the eggs be bees or spiders? I think the things will be ",spiders. Why?,spider
