,paper,study ,rep_id,type,type_category,stat_test_original,stat_test_new,is_natural_kind,condition,scenario_1,question_1_1_type,question_1_1_text,question_1_1_mask,question_1_2_type,question_1_2_text,question_1_2_mask,question_1_3_type,question_1_3_text,question_1_3_mask,question_1_4_type,question_1_4_text,question_1_4_mask,question_1_5_type,question_1_5_text,question_1_5_mask,question_1_6_type,question_1_6_text,question_1_6_mask,scenario_2,question_2_1_type,question_2_1_text,Unnamed: 30,hypotheses,bloom_prompt_question1_1,bloom_response_question_1_1
105,barton_and_komatsu_1997,1,1,transformation,molecular,"2*(word type: natural kinds, artifacts) x 2*(change type: molecular, functional, physical) ANOVA",glm(response ~ word type*change type),True,gold_changed_in_molecule,Question,categorization,Would gold still be gold if it were in all ways like gold except that it was not atomic number 79?,A thing that is in all ways like gold except that it was not atomic number 79 is,,,,,,,,,,,,,,,,,,,,"Molecular changes will have a greater impact on categorization judgments for non-living natural kinds than physical or functional changes and physical changes will have a greater impact than functional changes; for artifacts, functional changes will have the greatest impact on categorization judgments.",Question Would gold still be gold if it were in all ways like gold except that it was not atomic number 79? I think it would,not be gold
105,barton_and_komatsu_1997,1,2,transformation,molecular,"2*(word type: natural kinds, artifacts) x 2*(change type: molecular, functional, physical) ANOVA",glm(response ~ word type*change type),True,gold_changed_in_molecule,Question,categorization,Would gold still be gold if it were in all ways like gold except that it was not atomic number 79?,A thing that is in all ways like gold except that it was not atomic number 79 is,,,,,,,,,,,,,,,,,,,,"Molecular changes will have a greater impact on categorization judgments for non-living natural kinds than physical or functional changes and physical changes will have a greater impact than functional changes; for artifacts, functional changes will have the greatest impact on categorization judgments.",Question Would gold still be gold if it were in all ways like gold except that it was not atomic number 79? I think it would,still be gold
105,barton_and_komatsu_1997,1,3,transformation,molecular,"2*(word type: natural kinds, artifacts) x 2*(change type: molecular, functional, physical) ANOVA",glm(response ~ word type*change type),True,gold_changed_in_molecule,Question,categorization,Would gold still be gold if it were in all ways like gold except that it was not atomic number 79?,A thing that is in all ways like gold except that it was not atomic number 79 is,,,,,,,,,,,,,,,,,,,,"Molecular changes will have a greater impact on categorization judgments for non-living natural kinds than physical or functional changes and physical changes will have a greater impact than functional changes; for artifacts, functional changes will have the greatest impact on categorization judgments.",Question Would gold still be gold if it were in all ways like gold except that it was not atomic number 79? I think it would,still be gold
105,barton_and_komatsu_1997,1,4,transformation,molecular,"2*(word type: natural kinds, artifacts) x 2*(change type: molecular, functional, physical) ANOVA",glm(response ~ word type*change type),True,gold_changed_in_molecule,Question,categorization,Would gold still be gold if it were in all ways like gold except that it was not atomic number 79?,A thing that is in all ways like gold except that it was not atomic number 79 is,,,,,,,,,,,,,,,,,,,,"Molecular changes will have a greater impact on categorization judgments for non-living natural kinds than physical or functional changes and physical changes will have a greater impact than functional changes; for artifacts, functional changes will have the greatest impact on categorization judgments.",Question Would gold still be gold if it were in all ways like gold except that it was not atomic number 79? I think it would,"be, because"
105,barton_and_komatsu_1997,1,5,transformation,molecular,"2*(word type: natural kinds, artifacts) x 2*(change type: molecular, functional, physical) ANOVA",glm(response ~ word type*change type),True,gold_changed_in_molecule,Question,categorization,Would gold still be gold if it were in all ways like gold except that it was not atomic number 79?,A thing that is in all ways like gold except that it was not atomic number 79 is,,,,,,,,,,,,,,,,,,,,"Molecular changes will have a greater impact on categorization judgments for non-living natural kinds than physical or functional changes and physical changes will have a greater impact than functional changes; for artifacts, functional changes will have the greatest impact on categorization judgments.",Question Would gold still be gold if it were in all ways like gold except that it was not atomic number 79? I think it would,. I don't
105,barton_and_komatsu_1997,1,6,transformation,molecular,"2*(word type: natural kinds, artifacts) x 2*(change type: molecular, functional, physical) ANOVA",glm(response ~ word type*change type),True,gold_changed_in_molecule,Question,categorization,Would gold still be gold if it were in all ways like gold except that it was not atomic number 79?,A thing that is in all ways like gold except that it was not atomic number 79 is,,,,,,,,,,,,,,,,,,,,"Molecular changes will have a greater impact on categorization judgments for non-living natural kinds than physical or functional changes and physical changes will have a greater impact than functional changes; for artifacts, functional changes will have the greatest impact on categorization judgments.",Question Would gold still be gold if it were in all ways like gold except that it was not atomic number 79? I think it would,"be, but"
105,barton_and_komatsu_1997,1,7,transformation,molecular,"2*(word type: natural kinds, artifacts) x 2*(change type: molecular, functional, physical) ANOVA",glm(response ~ word type*change type),True,gold_changed_in_molecule,Question,categorization,Would gold still be gold if it were in all ways like gold except that it was not atomic number 79?,A thing that is in all ways like gold except that it was not atomic number 79 is,,,,,,,,,,,,,,,,,,,,"Molecular changes will have a greater impact on categorization judgments for non-living natural kinds than physical or functional changes and physical changes will have a greater impact than functional changes; for artifacts, functional changes will have the greatest impact on categorization judgments.",Question Would gold still be gold if it were in all ways like gold except that it was not atomic number 79? I think it would,not be gold
105,barton_and_komatsu_1997,1,8,transformation,molecular,"2*(word type: natural kinds, artifacts) x 2*(change type: molecular, functional, physical) ANOVA",glm(response ~ word type*change type),True,gold_changed_in_molecule,Question,categorization,Would gold still be gold if it were in all ways like gold except that it was not atomic number 79?,A thing that is in all ways like gold except that it was not atomic number 79 is,,,,,,,,,,,,,,,,,,,,"Molecular changes will have a greater impact on categorization judgments for non-living natural kinds than physical or functional changes and physical changes will have a greater impact than functional changes; for artifacts, functional changes will have the greatest impact on categorization judgments.",Question Would gold still be gold if it were in all ways like gold except that it was not atomic number 79? I think it would,"be, but"
105,barton_and_komatsu_1997,1,9,transformation,molecular,"2*(word type: natural kinds, artifacts) x 2*(change type: molecular, functional, physical) ANOVA",glm(response ~ word type*change type),True,gold_changed_in_molecule,Question,categorization,Would gold still be gold if it were in all ways like gold except that it was not atomic number 79?,A thing that is in all ways like gold except that it was not atomic number 79 is,,,,,,,,,,,,,,,,,,,,"Molecular changes will have a greater impact on categorization judgments for non-living natural kinds than physical or functional changes and physical changes will have a greater impact than functional changes; for artifacts, functional changes will have the greatest impact on categorization judgments.",Question Would gold still be gold if it were in all ways like gold except that it was not atomic number 79? I think it would,", but I"
105,barton_and_komatsu_1997,1,10,transformation,molecular,"2*(word type: natural kinds, artifacts) x 2*(change type: molecular, functional, physical) ANOVA",glm(response ~ word type*change type),True,gold_changed_in_molecule,Question,categorization,Would gold still be gold if it were in all ways like gold except that it was not atomic number 79?,A thing that is in all ways like gold except that it was not atomic number 79 is,,,,,,,,,,,,,,,,,,,,"Molecular changes will have a greater impact on categorization judgments for non-living natural kinds than physical or functional changes and physical changes will have a greater impact than functional changes; for artifacts, functional changes will have the greatest impact on categorization judgments.",Question Would gold still be gold if it were in all ways like gold except that it was not atomic number 79? I think it would,be more like
105,barton_and_komatsu_1997,1,11,transformation,molecular,"2*(word type: natural kinds, artifacts) x 2*(change type: molecular, functional, physical) ANOVA",glm(response ~ word type*change type),True,gold_changed_in_molecule,Question,categorization,Would gold still be gold if it were in all ways like gold except that it was not atomic number 79?,A thing that is in all ways like gold except that it was not atomic number 79 is,,,,,,,,,,,,,,,,,,,,"Molecular changes will have a greater impact on categorization judgments for non-living natural kinds than physical or functional changes and physical changes will have a greater impact than functional changes; for artifacts, functional changes will have the greatest impact on categorization judgments.",Question Would gold still be gold if it were in all ways like gold except that it was not atomic number 79? I think it would,not be gold
105,barton_and_komatsu_1997,1,12,transformation,molecular,"2*(word type: natural kinds, artifacts) x 2*(change type: molecular, functional, physical) ANOVA",glm(response ~ word type*change type),True,gold_changed_in_molecule,Question,categorization,Would gold still be gold if it were in all ways like gold except that it was not atomic number 79?,A thing that is in all ways like gold except that it was not atomic number 79 is,,,,,,,,,,,,,,,,,,,,"Molecular changes will have a greater impact on categorization judgments for non-living natural kinds than physical or functional changes and physical changes will have a greater impact than functional changes; for artifacts, functional changes will have the greatest impact on categorization judgments.",Question Would gold still be gold if it were in all ways like gold except that it was not atomic number 79? I think it would,still be gold
105,barton_and_komatsu_1997,1,13,transformation,molecular,"2*(word type: natural kinds, artifacts) x 2*(change type: molecular, functional, physical) ANOVA",glm(response ~ word type*change type),True,gold_changed_in_molecule,Question,categorization,Would gold still be gold if it were in all ways like gold except that it was not atomic number 79?,A thing that is in all ways like gold except that it was not atomic number 79 is,,,,,,,,,,,,,,,,,,,,"Molecular changes will have a greater impact on categorization judgments for non-living natural kinds than physical or functional changes and physical changes will have a greater impact than functional changes; for artifacts, functional changes will have the greatest impact on categorization judgments.",Question Would gold still be gold if it were in all ways like gold except that it was not atomic number 79? I think it would,still be gold
105,barton_and_komatsu_1997,1,14,transformation,molecular,"2*(word type: natural kinds, artifacts) x 2*(change type: molecular, functional, physical) ANOVA",glm(response ~ word type*change type),True,gold_changed_in_molecule,Question,categorization,Would gold still be gold if it were in all ways like gold except that it was not atomic number 79?,A thing that is in all ways like gold except that it was not atomic number 79 is,,,,,,,,,,,,,,,,,,,,"Molecular changes will have a greater impact on categorization judgments for non-living natural kinds than physical or functional changes and physical changes will have a greater impact than functional changes; for artifacts, functional changes will have the greatest impact on categorization judgments.",Question Would gold still be gold if it were in all ways like gold except that it was not atomic number 79? I think it would,", but I"
105,barton_and_komatsu_1997,1,15,transformation,molecular,"2*(word type: natural kinds, artifacts) x 2*(change type: molecular, functional, physical) ANOVA",glm(response ~ word type*change type),True,gold_changed_in_molecule,Question,categorization,Would gold still be gold if it were in all ways like gold except that it was not atomic number 79?,A thing that is in all ways like gold except that it was not atomic number 79 is,,,,,,,,,,,,,,,,,,,,"Molecular changes will have a greater impact on categorization judgments for non-living natural kinds than physical or functional changes and physical changes will have a greater impact than functional changes; for artifacts, functional changes will have the greatest impact on categorization judgments.",Question Would gold still be gold if it were in all ways like gold except that it was not atomic number 79? I think it would,"be, but"
105,barton_and_komatsu_1997,1,16,transformation,molecular,"2*(word type: natural kinds, artifacts) x 2*(change type: molecular, functional, physical) ANOVA",glm(response ~ word type*change type),True,gold_changed_in_molecule,Question,categorization,Would gold still be gold if it were in all ways like gold except that it was not atomic number 79?,A thing that is in all ways like gold except that it was not atomic number 79 is,,,,,,,,,,,,,,,,,,,,"Molecular changes will have a greater impact on categorization judgments for non-living natural kinds than physical or functional changes and physical changes will have a greater impact than functional changes; for artifacts, functional changes will have the greatest impact on categorization judgments.",Question Would gold still be gold if it were in all ways like gold except that it was not atomic number 79? I think it would,be gold because
