Unnamed: 0,paper,study ,rep_id,type,type_category,stat_test_original,stat_test_new,is_natural_kind,condition,scenario_1,question_1_1_type,question_1_1_text,question_1_1_mask,question_1_2_type,question_1_2_text,question_1_2_mask,question_1_3_type,question_1_3_text,question_1_3_mask,question_1_4_type,question_1_4_text,question_1_4_mask,question_1_5_type,question_1_5_text,question_1_5_mask,question_1_6_type,question_1_6_text,question_1_6_mask,scenario_2,question_2_1_type,question_2_1_text,Unnamed: 30,hypotheses,gpt3_response_question_1_1,gpt3_response_question_1_2,categorization_rating
0,rose_nichols_2019,1,1,transformation,superficial,"t.test(response, telos)",chisq.test(response ~ telos),TRUE,bee_telo_preserved,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special operation on a bee. They removed its wings and antennae, lengthened its legs and added a new pair of legs. They also inserted into the back of it something for making webs and trained the animal so that it would eat insects. After the special operation, this thing looked like a spider. After running some tests, they found that the thing after the special operation didn’t spin webs to catch insects and eat them. Instead, it only pollinated flowers and made honey.",categorization,Is the thing after the special operation a bee or spider? ,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of bees? ,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher bee ratings on purpose preserved.,The thing after the special operation is a bee.,"Yes, the thing after the special operation retains the true purpose of bees.",bee
1,rose_nichols_2019,1,2,transformation,superficial,"t.test(response, telos)",chisq.test(response ~ telos),TRUE,bee_telo_preserved,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special operation on a bee. They removed its wings and antennae, lengthened its legs and added a new pair of legs. They also inserted into the back of it something for making webs and trained the animal so that it would eat insects. After the special operation, this thing looked like a spider. After running some tests, they found that the thing after the special operation didn’t spin webs to catch insects and eat them. Instead, it only pollinated flowers and made honey.",categorization,Is the thing after the special operation a bee or spider? ,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of bees? ,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher bee ratings on purpose preserved.,The thing after the special operation is a bee.,"No, the thing after the special operation does not retain the true purpose of bees.",bee
2,rose_nichols_2019,1,3,transformation,superficial,"t.test(response, telos)",chisq.test(response ~ telos),TRUE,bee_telo_preserved,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special operation on a bee. They removed its wings and antennae, lengthened its legs and added a new pair of legs. They also inserted into the back of it something for making webs and trained the animal so that it would eat insects. After the special operation, this thing looked like a spider. After running some tests, they found that the thing after the special operation didn’t spin webs to catch insects and eat them. Instead, it only pollinated flowers and made honey.",categorization,Is the thing after the special operation a bee or spider? ,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of bees? ,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher bee ratings on purpose preserved.,"It is not possible to say for certain whether the thing after the special operation is a bee or a spider. It depends on how you define these terms. If you consider a bee to be an insect that pollinates flowers and makes honey, then the thing after the special operation would be a bee. However, if you consider a spider to be an arachnid that spins webs to catch insects, then the thing after the special operation would be a spider.","It is not possible to say for certain whether the thing after the special operation retains the true purpose of bees. It depends on how you define the true purpose of bees. If you consider the true purpose of bees to be to pollinate flowers and make honey, then the thing after the special operation would retain the true purpose of bees. However, if you consider the true purpose of bees to be to spin webs to catch insects, then the thing after the special operation would not retain the true purpose of",hybrid
3,rose_nichols_2019,1,4,transformation,superficial,"t.test(response, telos)",chisq.test(response ~ telos),TRUE,bee_telo_preserved,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special operation on a bee. They removed its wings and antennae, lengthened its legs and added a new pair of legs. They also inserted into the back of it something for making webs and trained the animal so that it would eat insects. After the special operation, this thing looked like a spider. After running some tests, they found that the thing after the special operation didn’t spin webs to catch insects and eat them. Instead, it only pollinated flowers and made honey.",categorization,Is the thing after the special operation a bee or spider? ,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of bees? ,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher bee ratings on purpose preserved.,The thing after the special operation is a bee.,"Yes, the thing after the special operation does retain the true purpose of bees.",bee
4,rose_nichols_2019,1,5,transformation,superficial,"t.test(response, telos)",chisq.test(response ~ telos),TRUE,bee_telo_preserved,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special operation on a bee. They removed its wings and antennae, lengthened its legs and added a new pair of legs. They also inserted into the back of it something for making webs and trained the animal so that it would eat insects. After the special operation, this thing looked like a spider. After running some tests, they found that the thing after the special operation didn’t spin webs to catch insects and eat them. Instead, it only pollinated flowers and made honey.",categorization,Is the thing after the special operation a bee or spider? ,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of bees? ,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher bee ratings on purpose preserved.,The thing after the special operation is neither a bee nor a spider. It is a hybrid creature that has been modified by Suzy and Andy.,The thing after the special operation does not retain the true purpose of bees. Its purpose has been changed by Suzy and Andy to include pollinating flowers and making honey.,hybrid
5,rose_nichols_2019,1,6,transformation,superficial,"t.test(response, telos)",chisq.test(response ~ telos),TRUE,bee_telo_preserved,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special operation on a bee. They removed its wings and antennae, lengthened its legs and added a new pair of legs. They also inserted into the back of it something for making webs and trained the animal so that it would eat insects. After the special operation, this thing looked like a spider. After running some tests, they found that the thing after the special operation didn’t spin webs to catch insects and eat them. Instead, it only pollinated flowers and made honey.",categorization,Is the thing after the special operation a bee or spider? ,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of bees? ,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher bee ratings on purpose preserved.,The thing after the special operation is a bee.,"No, the thing after the special operation does not retain the true purpose of bees.",bee
6,rose_nichols_2019,1,7,transformation,superficial,"t.test(response, telos)",chisq.test(response ~ telos),TRUE,bee_telo_preserved,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special operation on a bee. They removed its wings and antennae, lengthened its legs and added a new pair of legs. They also inserted into the back of it something for making webs and trained the animal so that it would eat insects. After the special operation, this thing looked like a spider. After running some tests, they found that the thing after the special operation didn’t spin webs to catch insects and eat them. Instead, it only pollinated flowers and made honey.",categorization,Is the thing after the special operation a bee or spider? ,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of bees? ,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher bee ratings on purpose preserved.,"The thing after the special operation would be classified as a bee, since it is still an insect that primarily pollinates flowers and produces honey.","The thing after the special operation loses the ability to spin webs and catch insects, so it does not retain the true purpose of bees.",bee
7,rose_nichols_2019,1,8,transformation,superficial,"t.test(response, telos)",chisq.test(response ~ telos),TRUE,bee_telo_preserved,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special operation on a bee. They removed its wings and antennae, lengthened its legs and added a new pair of legs. They also inserted into the back of it something for making webs and trained the animal so that it would eat insects. After the special operation, this thing looked like a spider. After running some tests, they found that the thing after the special operation didn’t spin webs to catch insects and eat them. Instead, it only pollinated flowers and made honey.",categorization,Is the thing after the special operation a bee or spider? ,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of bees? ,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher bee ratings on purpose preserved.,The thing after the special operation is a bee.,The thing after the special operation does not retain the true purpose of bees.,bee
8,rose_nichols_2019,1,9,transformation,superficial,"t.test(response, telos)",chisq.test(response ~ telos),TRUE,bee_telo_preserved,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special operation on a bee. They removed its wings and antennae, lengthened its legs and added a new pair of legs. They also inserted into the back of it something for making webs and trained the animal so that it would eat insects. After the special operation, this thing looked like a spider. After running some tests, they found that the thing after the special operation didn’t spin webs to catch insects and eat them. Instead, it only pollinated flowers and made honey.",categorization,Is the thing after the special operation a bee or spider? ,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of bees? ,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher bee ratings on purpose preserved.,The thing after the special operation is a bee.,The thing after the special operation does not retain the true purpose of bees.,bee
9,rose_nichols_2019,1,10,transformation,superficial,"t.test(response, telos)",chisq.test(response ~ telos),TRUE,bee_telo_preserved,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special operation on a bee. They removed its wings and antennae, lengthened its legs and added a new pair of legs. They also inserted into the back of it something for making webs and trained the animal so that it would eat insects. After the special operation, this thing looked like a spider. After running some tests, they found that the thing after the special operation didn’t spin webs to catch insects and eat them. Instead, it only pollinated flowers and made honey.",categorization,Is the thing after the special operation a bee or spider? ,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of bees? ,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher bee ratings on purpose preserved.,The thing after the special operation is a hybrid of a bee and a spider.,"No, the thing after the special operation does not retain the true purpose of bees.",hybrid
