paper,study ,rep_id,type,type_category,stat_test_original,stat_test_new,is_natural_kind,condition,scenario_1,question_1_1_type,question_1_1_text,question_1_1_mask,question_1_2_type,question_1_2_text,question_1_2_mask,question_1_3_type,question_1_3_text,question_1_3_mask,question_1_4_type,question_1_4_text,question_1_4_mask,question_1_5_type,question_1_5_text,question_1_5_mask,question_1_6_type,question_1_6_text,question_1_6_mask,scenario_2,question_2_1_type,question_2_1_text,Unnamed: 30,hypotheses,gpt3_response_question_1_1,gpt3_response_question_2_1,categorization_rating
gelman_wellman_1991,2,1,transformation,inside_removal,"2*(age) x 2*(item type: inside-relevant, containers) x 2*(question type: inside removal, outside removal) ANOVA",glm(response ~ item type*question type),True,banana_inside_removed,"What if you take out the stuff inside of the banana, you know, the white part, and got rid of it and all you have left are the outsides?",categorization,Is it still a banana?,"After the special operation, the thing is a",,,,,,,,,,,,,,,,What if the banana turns upside down?,movement,Is it still a banana?,,Insides will be considered more critical than outsides. Identity will be changed when insides are removed from the inside-relevant items. Participants will be more likely to say it is not a banana on inside removal.,No,Yes,no
gelman_wellman_1991,2,2,transformation,inside_removal,"2*(age) x 2*(item type: inside-relevant, containers) x 2*(question type: inside removal, outside removal) ANOVA",glm(response ~ item type*question type),True,banana_inside_removed,"What if you take out the stuff inside of the banana, you know, the white part, and got rid of it and all you have left are the outsides?",categorization,Is it still a banana?,"After the special operation, the thing is a",,,,,,,,,,,,,,,,What if the banana turns upside down?,movement,Is it still a banana?,,Insides will be considered more critical than outsides. Identity will be changed when insides are removed from the inside-relevant items. Participants will be more likely to say it is not a banana on inside removal.,"No, it is not a banana.","Yes, it is still a banana.",no
gelman_wellman_1991,2,3,transformation,inside_removal,"2*(age) x 2*(item type: inside-relevant, containers) x 2*(question type: inside removal, outside removal) ANOVA",glm(response ~ item type*question type),True,banana_inside_removed,"What if you take out the stuff inside of the banana, you know, the white part, and got rid of it and all you have left are the outsides?",categorization,Is it still a banana?,"After the special operation, the thing is a",,,,,,,,,,,,,,,,What if the banana turns upside down?,movement,Is it still a banana?,,Insides will be considered more critical than outsides. Identity will be changed when insides are removed from the inside-relevant items. Participants will be more likely to say it is not a banana on inside removal.,"No, it is not a banana.","No, it is not a banana.",no
gelman_wellman_1991,2,4,transformation,inside_removal,"2*(age) x 2*(item type: inside-relevant, containers) x 2*(question type: inside removal, outside removal) ANOVA",glm(response ~ item type*question type),True,banana_inside_removed,"What if you take out the stuff inside of the banana, you know, the white part, and got rid of it and all you have left are the outsides?",categorization,Is it still a banana?,"After the special operation, the thing is a",,,,,,,,,,,,,,,,What if the banana turns upside down?,movement,Is it still a banana?,,Insides will be considered more critical than outsides. Identity will be changed when insides are removed from the inside-relevant items. Participants will be more likely to say it is not a banana on inside removal.,"No, it would not be considered a banana anymore.","Yes, it would still be considered a banana.",no
gelman_wellman_1991,2,5,transformation,inside_removal,"2*(age) x 2*(item type: inside-relevant, containers) x 2*(question type: inside removal, outside removal) ANOVA",glm(response ~ item type*question type),True,banana_inside_removed,"What if you take out the stuff inside of the banana, you know, the white part, and got rid of it and all you have left are the outsides?",categorization,Is it still a banana?,"After the special operation, the thing is a",,,,,,,,,,,,,,,,What if the banana turns upside down?,movement,Is it still a banana?,,Insides will be considered more critical than outsides. Identity will be changed when insides are removed from the inside-relevant items. Participants will be more likely to say it is not a banana on inside removal.,"Yes, it is still a banana.","Yes, it is still a banana.",yes
gelman_wellman_1991,2,6,transformation,inside_removal,"2*(age) x 2*(item type: inside-relevant, containers) x 2*(question type: inside removal, outside removal) ANOVA",glm(response ~ item type*question type),True,banana_inside_removed,"What if you take out the stuff inside of the banana, you know, the white part, and got rid of it and all you have left are the outsides?",categorization,Is it still a banana?,"After the special operation, the thing is a",,,,,,,,,,,,,,,,What if the banana turns upside down?,movement,Is it still a banana?,,Insides will be considered more critical than outsides. Identity will be changed when insides are removed from the inside-relevant items. Participants will be more likely to say it is not a banana on inside removal.,"No, it is not still a banana.","No, it is not still a banana.",no
gelman_wellman_1991,2,7,transformation,inside_removal,"2*(age) x 2*(item type: inside-relevant, containers) x 2*(question type: inside removal, outside removal) ANOVA",glm(response ~ item type*question type),True,banana_inside_removed,"What if you take out the stuff inside of the banana, you know, the white part, and got rid of it and all you have left are the outsides?",categorization,Is it still a banana?,"After the special operation, the thing is a",,,,,,,,,,,,,,,,What if the banana turns upside down?,movement,Is it still a banana?,,Insides will be considered more critical than outsides. Identity will be changed when insides are removed from the inside-relevant items. Participants will be more likely to say it is not a banana on inside removal.,"No, it is not still a banana.","No, it is not still a banana.",no
gelman_wellman_1991,2,8,transformation,inside_removal,"2*(age) x 2*(item type: inside-relevant, containers) x 2*(question type: inside removal, outside removal) ANOVA",glm(response ~ item type*question type),True,banana_inside_removed,"What if you take out the stuff inside of the banana, you know, the white part, and got rid of it and all you have left are the outsides?",categorization,Is it still a banana?,"After the special operation, the thing is a",,,,,,,,,,,,,,,,What if the banana turns upside down?,movement,Is it still a banana?,,Insides will be considered more critical than outsides. Identity will be changed when insides are removed from the inside-relevant items. Participants will be more likely to say it is not a banana on inside removal.,"No, it is not a banana.","Yes, it is still a banana.",no
gelman_wellman_1991,2,9,transformation,inside_removal,"2*(age) x 2*(item type: inside-relevant, containers) x 2*(question type: inside removal, outside removal) ANOVA",glm(response ~ item type*question type),True,banana_inside_removed,"What if you take out the stuff inside of the banana, you know, the white part, and got rid of it and all you have left are the outsides?",categorization,Is it still a banana?,"After the special operation, the thing is a",,,,,,,,,,,,,,,,What if the banana turns upside down?,movement,Is it still a banana?,,Insides will be considered more critical than outsides. Identity will be changed when insides are removed from the inside-relevant items. Participants will be more likely to say it is not a banana on inside removal.,"No, it is not a banana.","No, it is not a banana.",no
gelman_wellman_1991,2,10,transformation,inside_removal,"2*(age) x 2*(item type: inside-relevant, containers) x 2*(question type: inside removal, outside removal) ANOVA",glm(response ~ item type*question type),True,banana_inside_removed,"What if you take out the stuff inside of the banana, you know, the white part, and got rid of it and all you have left are the outsides?",categorization,Is it still a banana?,"After the special operation, the thing is a",,,,,,,,,,,,,,,,What if the banana turns upside down?,movement,Is it still a banana?,,Insides will be considered more critical than outsides. Identity will be changed when insides are removed from the inside-relevant items. Participants will be more likely to say it is not a banana on inside removal.,"No, it's not a banana.","No, it's not a banana.",no
gelman_wellman_1991,2,11,transformation,inside_removal,"2*(age) x 2*(item type: inside-relevant, containers) x 2*(question type: inside removal, outside removal) ANOVA",glm(response ~ item type*question type),True,banana_inside_removed,"What if you take out the stuff inside of the banana, you know, the white part, and got rid of it and all you have left are the outsides?",categorization,Is it still a banana?,"After the special operation, the thing is a",,,,,,,,,,,,,,,,What if the banana turns upside down?,movement,Is it still a banana?,,Insides will be considered more critical than outsides. Identity will be changed when insides are removed from the inside-relevant items. Participants will be more likely to say it is not a banana on inside removal.,"No, it is not a banana.","No, it is not a banana.",no
gelman_wellman_1991,2,12,transformation,inside_removal,"2*(age) x 2*(item type: inside-relevant, containers) x 2*(question type: inside removal, outside removal) ANOVA",glm(response ~ item type*question type),True,banana_inside_removed,"What if you take out the stuff inside of the banana, you know, the white part, and got rid of it and all you have left are the outsides?",categorization,Is it still a banana?,"After the special operation, the thing is a",,,,,,,,,,,,,,,,What if the banana turns upside down?,movement,Is it still a banana?,,Insides will be considered more critical than outsides. Identity will be changed when insides are removed from the inside-relevant items. Participants will be more likely to say it is not a banana on inside removal.,"No, it's not a banana anymore.","Yes, it's still a banana.",no
gelman_wellman_1991,2,13,transformation,inside_removal,"2*(age) x 2*(item type: inside-relevant, containers) x 2*(question type: inside removal, outside removal) ANOVA",glm(response ~ item type*question type),True,banana_inside_removed,"What if you take out the stuff inside of the banana, you know, the white part, and got rid of it and all you have left are the outsides?",categorization,Is it still a banana?,"After the special operation, the thing is a",,,,,,,,,,,,,,,,What if the banana turns upside down?,movement,Is it still a banana?,,Insides will be considered more critical than outsides. Identity will be changed when insides are removed from the inside-relevant items. Participants will be more likely to say it is not a banana on inside removal.,"No, it's not a banana anymore.","Yes, it is still a banana.",no
gelman_wellman_1991,2,14,transformation,inside_removal,"2*(age) x 2*(item type: inside-relevant, containers) x 2*(question type: inside removal, outside removal) ANOVA",glm(response ~ item type*question type),True,banana_inside_removed,"What if you take out the stuff inside of the banana, you know, the white part, and got rid of it and all you have left are the outsides?",categorization,Is it still a banana?,"After the special operation, the thing is a",,,,,,,,,,,,,,,,What if the banana turns upside down?,movement,Is it still a banana?,,Insides will be considered more critical than outsides. Identity will be changed when insides are removed from the inside-relevant items. Participants will be more likely to say it is not a banana on inside removal.,"No, it would not be considered a banana anymore.","No, it would not be considered a banana anymore.",no
gelman_wellman_1991,2,15,transformation,inside_removal,"2*(age) x 2*(item type: inside-relevant, containers) x 2*(question type: inside removal, outside removal) ANOVA",glm(response ~ item type*question type),True,banana_inside_removed,"What if you take out the stuff inside of the banana, you know, the white part, and got rid of it and all you have left are the outsides?",categorization,Is it still a banana?,"After the special operation, the thing is a",,,,,,,,,,,,,,,,What if the banana turns upside down?,movement,Is it still a banana?,,Insides will be considered more critical than outsides. Identity will be changed when insides are removed from the inside-relevant items. Participants will be more likely to say it is not a banana on inside removal.,"No, it is not still a banana.","No, the banana would not be considered a banana if it were upside down.",no
