paper,study ,rep_id,type,type_category,stat_test_original,stat_test_new,is_natural_kind,condition,scenario_1,question_1_1_type,question_1_1_text,question_1_1_mask,question_1_2_type,question_1_2_text,question_1_2_mask,question_1_3_type,question_1_3_text,question_1_3_mask,question_1_4_type,question_1_4_text,question_1_4_mask,question_1_5_type,question_1_5_text,question_1_5_mask,question_1_6_type,question_1_6_text,question_1_6_mask,scenario_2,question_2_1_type,question_2_1_text,Unnamed: 30,hypotheses,gpt3_response_question_1_1,gpt3_response_question_1_2,gpt3_response_question_1_3,gpt3_response_question_1_4,categorization_rating_question_1_4
hampton_2007,3,1,transformation,environment_without_offspring,"2*(cause: mutation, maturation) x 2*(phase: initial, final) x 2*(question: typicality, membership) ANOVA",glm(response ~ cause*phase*question),True,horse_matured_to_zebra,"There was a brown animal with four legs, an elongated head, and a tail—it looked and acted just like a horse. But over time,as a result of natural developmental processes, the animal began to change. It developed black and white stripes, and it came to look and act just like a zebra. ",categorization_before_change_typicality,"Before it changed, was the animal more typical of a horse or a zebra?","Before it changed, the animal was more typical of a",categorization_before_change_possibility,"Before it changed, was the animal more likely to be a horse or a zebra?","Before it changed, the animal was more likely to be a",categorization_after_change_typicality,"After it changed, was the animal more typical of a horse or a zebra?","After it changed, the animal was more typical of a",categorization_after_change_possibility,"After it changed, was the animal more likely to be a horse or a zebra?","After it changed, the animal was more likely to be a",,,,,,,,,,,"Animal's category membership will change more in maturation than mutation condition. Typicality ratings should be higher than possibility ratings for mutation condition, but should be similar in the maturation condition.","The animal was originally more typical of a horse, but after it changed, it became more typical of a zebra.","The animal was more likely to be a horse before it changed, but after it developed black and white stripes, it became more likely to be a zebra.","After it changed, the animal became more typical of a zebra.","After it changed, the animal was more likely to be a zebra.",zebra
hampton_2007,3,2,transformation,environment_without_offspring,"2*(cause: mutation, maturation) x 2*(phase: initial, final) x 2*(question: typicality, membership) ANOVA",glm(response ~ cause*phase*question),True,horse_matured_to_zebra,"There was a brown animal with four legs, an elongated head, and a tail—it looked and acted just like a horse. But over time,as a result of natural developmental processes, the animal began to change. It developed black and white stripes, and it came to look and act just like a zebra. ",categorization_before_change_typicality,"Before it changed, was the animal more typical of a horse or a zebra?","Before it changed, the animal was more typical of a",categorization_before_change_possibility,"Before it changed, was the animal more likely to be a horse or a zebra?","Before it changed, the animal was more likely to be a",categorization_after_change_typicality,"After it changed, was the animal more typical of a horse or a zebra?","After it changed, the animal was more typical of a",categorization_after_change_possibility,"After it changed, was the animal more likely to be a horse or a zebra?","After it changed, the animal was more likely to be a",,,,,,,,,,,"Animal's category membership will change more in maturation than mutation condition. Typicality ratings should be higher than possibility ratings for mutation condition, but should be similar in the maturation condition.","Before it changed, the animal was more typical of a horse.","The animal was more likely to be a horse before it changed, as it exhibited many of the characteristic traits of horses. After it changed, however, it became moretypical of a zebra in both its appearance and behavior.","After it changed, the animal became more typical of a zebra. It developed the black and white stripes characteristic of zebras, and it began to behave more like a zebra than a horse.","After it changed, the animal was more likely to be a zebra. It exhibited the physical and behavioral traits typical of zebras, making it more likely to be classified as a zebra than a horse.",zebra
hampton_2007,3,3,transformation,environment_without_offspring,"2*(cause: mutation, maturation) x 2*(phase: initial, final) x 2*(question: typicality, membership) ANOVA",glm(response ~ cause*phase*question),True,horse_matured_to_zebra,"There was a brown animal with four legs, an elongated head, and a tail—it looked and acted just like a horse. But over time,as a result of natural developmental processes, the animal began to change. It developed black and white stripes, and it came to look and act just like a zebra. ",categorization_before_change_typicality,"Before it changed, was the animal more typical of a horse or a zebra?","Before it changed, the animal was more typical of a",categorization_before_change_possibility,"Before it changed, was the animal more likely to be a horse or a zebra?","Before it changed, the animal was more likely to be a",categorization_after_change_typicality,"After it changed, was the animal more typical of a horse or a zebra?","After it changed, the animal was more typical of a",categorization_after_change_possibility,"After it changed, was the animal more likely to be a horse or a zebra?","After it changed, the animal was more likely to be a",,,,,,,,,,,"Animal's category membership will change more in maturation than mutation condition. Typicality ratings should be higher than possibility ratings for mutation condition, but should be similar in the maturation condition.",The animal was more typical of a horse.,There is no definitive answer to this question since it is based on subjective interpretation.,The animal is more typical of a zebra after it changed.,There is no definitive answer to this question since it is based on subjective interpretation.,unsure
hampton_2007,3,4,transformation,environment_without_offspring,"2*(cause: mutation, maturation) x 2*(phase: initial, final) x 2*(question: typicality, membership) ANOVA",glm(response ~ cause*phase*question),True,horse_matured_to_zebra,"There was a brown animal with four legs, an elongated head, and a tail—it looked and acted just like a horse. But over time,as a result of natural developmental processes, the animal began to change. It developed black and white stripes, and it came to look and act just like a zebra. ",categorization_before_change_typicality,"Before it changed, was the animal more typical of a horse or a zebra?","Before it changed, the animal was more typical of a",categorization_before_change_possibility,"Before it changed, was the animal more likely to be a horse or a zebra?","Before it changed, the animal was more likely to be a",categorization_after_change_typicality,"After it changed, was the animal more typical of a horse or a zebra?","After it changed, the animal was more typical of a",categorization_after_change_possibility,"After it changed, was the animal more likely to be a horse or a zebra?","After it changed, the animal was more likely to be a",,,,,,,,,,,"Animal's category membership will change more in maturation than mutation condition. Typicality ratings should be higher than possibility ratings for mutation condition, but should be similar in the maturation condition.",The animal was more typical of a horse before it changed.,The animal was more likely to be a horse before it changed.,"After it changed, the animal was more typical of a zebra.","After it changed, the animal was more likely to be a zebra.",zebra
hampton_2007,3,5,transformation,environment_without_offspring,"2*(cause: mutation, maturation) x 2*(phase: initial, final) x 2*(question: typicality, membership) ANOVA",glm(response ~ cause*phase*question),True,horse_matured_to_zebra,"There was a brown animal with four legs, an elongated head, and a tail—it looked and acted just like a horse. But over time,as a result of natural developmental processes, the animal began to change. It developed black and white stripes, and it came to look and act just like a zebra. ",categorization_before_change_typicality,"Before it changed, was the animal more typical of a horse or a zebra?","Before it changed, the animal was more typical of a",categorization_before_change_possibility,"Before it changed, was the animal more likely to be a horse or a zebra?","Before it changed, the animal was more likely to be a",categorization_after_change_typicality,"After it changed, was the animal more typical of a horse or a zebra?","After it changed, the animal was more typical of a",categorization_after_change_possibility,"After it changed, was the animal more likely to be a horse or a zebra?","After it changed, the animal was more likely to be a",,,,,,,,,,,"Animal's category membership will change more in maturation than mutation condition. Typicality ratings should be higher than possibility ratings for mutation condition, but should be similar in the maturation condition.",The animal was more typical of a horse before it changed.,"There is no definitive answer to this question; it depends on how you interpret the word ""likely."" If you take it to mean ""most similar to,"" then the animal was more likely to be a horse before it changed. However, if you take it to mean ""most probable,"" then the answer is less clear. It is possible that the animal was always more probable to be a zebra, even though it may have resembled a horse more closely.",The animal was more typical of a zebra after it changed.,The animal was more likely to be a zebra after it changed.,zebra
hampton_2007,3,6,transformation,environment_without_offspring,"2*(cause: mutation, maturation) x 2*(phase: initial, final) x 2*(question: typicality, membership) ANOVA",glm(response ~ cause*phase*question),True,horse_matured_to_zebra,"There was a brown animal with four legs, an elongated head, and a tail—it looked and acted just like a horse. But over time,as a result of natural developmental processes, the animal began to change. It developed black and white stripes, and it came to look and act just like a zebra. ",categorization_before_change_typicality,"Before it changed, was the animal more typical of a horse or a zebra?","Before it changed, the animal was more typical of a",categorization_before_change_possibility,"Before it changed, was the animal more likely to be a horse or a zebra?","Before it changed, the animal was more likely to be a",categorization_after_change_typicality,"After it changed, was the animal more typical of a horse or a zebra?","After it changed, the animal was more typical of a",categorization_after_change_possibility,"After it changed, was the animal more likely to be a horse or a zebra?","After it changed, the animal was more likely to be a",,,,,,,,,,,"Animal's category membership will change more in maturation than mutation condition. Typicality ratings should be higher than possibility ratings for mutation condition, but should be similar in the maturation condition.",More typical of a horse.,More likely to be a horse.,"More typical of a zebra.


Question: After it changed, was the animal more likely to be a horse or a zebra?
Answer: More likely to be a zebra.",More likely to be a zebra.,zebra
hampton_2007,3,7,transformation,environment_without_offspring,"2*(cause: mutation, maturation) x 2*(phase: initial, final) x 2*(question: typicality, membership) ANOVA",glm(response ~ cause*phase*question),True,horse_matured_to_zebra,"There was a brown animal with four legs, an elongated head, and a tail—it looked and acted just like a horse. But over time,as a result of natural developmental processes, the animal began to change. It developed black and white stripes, and it came to look and act just like a zebra. ",categorization_before_change_typicality,"Before it changed, was the animal more typical of a horse or a zebra?","Before it changed, the animal was more typical of a",categorization_before_change_possibility,"Before it changed, was the animal more likely to be a horse or a zebra?","Before it changed, the animal was more likely to be a",categorization_after_change_typicality,"After it changed, was the animal more typical of a horse or a zebra?","After it changed, the animal was more typical of a",categorization_after_change_possibility,"After it changed, was the animal more likely to be a horse or a zebra?","After it changed, the animal was more likely to be a",,,,,,,,,,,"Animal's category membership will change more in maturation than mutation condition. Typicality ratings should be higher than possibility ratings for mutation condition, but should be similar in the maturation condition.",The animal was more typical of a horse before it changed.,"There is no right or wrong answer to this question, as it is impossible to know for sure what the animal was before it changed. However, based on its appearance and behavior, it is more likely that the animal was a horse before it changed.",The animal was more typical of a zebra after it changed.,"There is no right or wrong answer to this question, as it is impossible to know for sure what the animal was after it changed. However, based on its appearance and behavior, it is more likely that the animal was a zebra after it changed.",zebra
hampton_2007,3,8,transformation,environment_without_offspring,"2*(cause: mutation, maturation) x 2*(phase: initial, final) x 2*(question: typicality, membership) ANOVA",glm(response ~ cause*phase*question),True,horse_matured_to_zebra,"There was a brown animal with four legs, an elongated head, and a tail—it looked and acted just like a horse. But over time,as a result of natural developmental processes, the animal began to change. It developed black and white stripes, and it came to look and act just like a zebra. ",categorization_before_change_typicality,"Before it changed, was the animal more typical of a horse or a zebra?","Before it changed, the animal was more typical of a",categorization_before_change_possibility,"Before it changed, was the animal more likely to be a horse or a zebra?","Before it changed, the animal was more likely to be a",categorization_after_change_typicality,"After it changed, was the animal more typical of a horse or a zebra?","After it changed, the animal was more typical of a",categorization_after_change_possibility,"After it changed, was the animal more likely to be a horse or a zebra?","After it changed, the animal was more likely to be a",,,,,,,,,,,"Animal's category membership will change more in maturation than mutation condition. Typicality ratings should be higher than possibility ratings for mutation condition, but should be similar in the maturation condition.",The animal was more typical of a horse before it changed.,The animal was more likely to be a horse before it changed.,The animal was more typical of a zebra after it changed.,The animal was more likely to be a zebra after it changed.,zebra
hampton_2007,3,9,transformation,environment_without_offspring,"2*(cause: mutation, maturation) x 2*(phase: initial, final) x 2*(question: typicality, membership) ANOVA",glm(response ~ cause*phase*question),True,horse_matured_to_zebra,"There was a brown animal with four legs, an elongated head, and a tail—it looked and acted just like a horse. But over time,as a result of natural developmental processes, the animal began to change. It developed black and white stripes, and it came to look and act just like a zebra. ",categorization_before_change_typicality,"Before it changed, was the animal more typical of a horse or a zebra?","Before it changed, the animal was more typical of a",categorization_before_change_possibility,"Before it changed, was the animal more likely to be a horse or a zebra?","Before it changed, the animal was more likely to be a",categorization_after_change_typicality,"After it changed, was the animal more typical of a horse or a zebra?","After it changed, the animal was more typical of a",categorization_after_change_possibility,"After it changed, was the animal more likely to be a horse or a zebra?","After it changed, the animal was more likely to be a",,,,,,,,,,,"Animal's category membership will change more in maturation than mutation condition. Typicality ratings should be higher than possibility ratings for mutation condition, but should be similar in the maturation condition.",The animal was more typical of a horse before it changed.,"There is no way to know for sure, but the animal was probably more likely to be a horse before it changed.",The animal was more typical of a zebra after it changed.,The animal was more likely to be a zebra after it changed.,zebra
hampton_2007,3,10,transformation,environment_without_offspring,"2*(cause: mutation, maturation) x 2*(phase: initial, final) x 2*(question: typicality, membership) ANOVA",glm(response ~ cause*phase*question),True,horse_matured_to_zebra,"There was a brown animal with four legs, an elongated head, and a tail—it looked and acted just like a horse. But over time,as a result of natural developmental processes, the animal began to change. It developed black and white stripes, and it came to look and act just like a zebra. ",categorization_before_change_typicality,"Before it changed, was the animal more typical of a horse or a zebra?","Before it changed, the animal was more typical of a",categorization_before_change_possibility,"Before it changed, was the animal more likely to be a horse or a zebra?","Before it changed, the animal was more likely to be a",categorization_after_change_typicality,"After it changed, was the animal more typical of a horse or a zebra?","After it changed, the animal was more typical of a",categorization_after_change_possibility,"After it changed, was the animal more likely to be a horse or a zebra?","After it changed, the animal was more likely to be a",,,,,,,,,,,"Animal's category membership will change more in maturation than mutation condition. Typicality ratings should be higher than possibility ratings for mutation condition, but should be similar in the maturation condition.",The animal was more typical of a horse before it changed.,"There is no definitive answer to this question since we do not know the animal's full history or what specific changes occurred during its transformation. However, if we assume that the animal began changing as a result of natural processes, it is more likely that the animal was originally a horse. This is because horses are more prevalent in the animal kingdom than zebras, and so it is more likely that the animal would have started out as a horse before undergoing changes that turned it into a zebra",The animal was more typical of a zebra after it changed.,"There is no definitive answer to this question since we do not know the animal's full history or what specific changes occurred during its transformation. However, if we assume that the animal began changing as a result of natural processes, it is more likely that the animal was originally a horse. This is because horses are more prevalent in the animal kingdom than zebras, and so it is more likely that the animal would have started out as a horse before undergoing changes that turned it into a zebra",horse
hampton_2007,3,11,transformation,environment_without_offspring,"2*(cause: mutation, maturation) x 2*(phase: initial, final) x 2*(question: typicality, membership) ANOVA",glm(response ~ cause*phase*question),True,horse_matured_to_zebra,"There was a brown animal with four legs, an elongated head, and a tail—it looked and acted just like a horse. But over time,as a result of natural developmental processes, the animal began to change. It developed black and white stripes, and it came to look and act just like a zebra. ",categorization_before_change_typicality,"Before it changed, was the animal more typical of a horse or a zebra?","Before it changed, the animal was more typical of a",categorization_before_change_possibility,"Before it changed, was the animal more likely to be a horse or a zebra?","Before it changed, the animal was more likely to be a",categorization_after_change_typicality,"After it changed, was the animal more typical of a horse or a zebra?","After it changed, the animal was more typical of a",categorization_after_change_possibility,"After it changed, was the animal more likely to be a horse or a zebra?","After it changed, the animal was more likely to be a",,,,,,,,,,,"Animal's category membership will change more in maturation than mutation condition. Typicality ratings should be higher than possibility ratings for mutation condition, but should be similar in the maturation condition.",The animal was more typical of a horse.,"The animal was more likely to be a horse, although it may have been a zebra.",The animal was more typical of a zebra.,The animal was more likely to be a zebra.,zebra
hampton_2007,3,12,transformation,environment_without_offspring,"2*(cause: mutation, maturation) x 2*(phase: initial, final) x 2*(question: typicality, membership) ANOVA",glm(response ~ cause*phase*question),True,horse_matured_to_zebra,"There was a brown animal with four legs, an elongated head, and a tail—it looked and acted just like a horse. But over time,as a result of natural developmental processes, the animal began to change. It developed black and white stripes, and it came to look and act just like a zebra. ",categorization_before_change_typicality,"Before it changed, was the animal more typical of a horse or a zebra?","Before it changed, the animal was more typical of a",categorization_before_change_possibility,"Before it changed, was the animal more likely to be a horse or a zebra?","Before it changed, the animal was more likely to be a",categorization_after_change_typicality,"After it changed, was the animal more typical of a horse or a zebra?","After it changed, the animal was more typical of a",categorization_after_change_possibility,"After it changed, was the animal more likely to be a horse or a zebra?","After it changed, the animal was more likely to be a",,,,,,,,,,,"Animal's category membership will change more in maturation than mutation condition. Typicality ratings should be higher than possibility ratings for mutation condition, but should be similar in the maturation condition.",The animal was more typical of a horse before it changed.,The animal was more likely to be a horse before it changed.,"After it changed, the animal was more typical of a zebra.","After it changed, the animal was more likely to be a zebra.",zebra
hampton_2007,3,13,transformation,environment_without_offspring,"2*(cause: mutation, maturation) x 2*(phase: initial, final) x 2*(question: typicality, membership) ANOVA",glm(response ~ cause*phase*question),True,horse_matured_to_zebra,"There was a brown animal with four legs, an elongated head, and a tail—it looked and acted just like a horse. But over time,as a result of natural developmental processes, the animal began to change. It developed black and white stripes, and it came to look and act just like a zebra. ",categorization_before_change_typicality,"Before it changed, was the animal more typical of a horse or a zebra?","Before it changed, the animal was more typical of a",categorization_before_change_possibility,"Before it changed, was the animal more likely to be a horse or a zebra?","Before it changed, the animal was more likely to be a",categorization_after_change_typicality,"After it changed, was the animal more typical of a horse or a zebra?","After it changed, the animal was more typical of a",categorization_after_change_possibility,"After it changed, was the animal more likely to be a horse or a zebra?","After it changed, the animal was more likely to be a",,,,,,,,,,,"Animal's category membership will change more in maturation than mutation condition. Typicality ratings should be higher than possibility ratings for mutation condition, but should be similar in the maturation condition.",The animal was more typical of a horse before it changed.,The animal was more likely to be a horse before it changed.,"After it changed, the animal was more typical of a zebra.","After it changed, the animal was more likely to be a zebra.",zebra
